Mã CK,CDP,CDR,CEN,CEO,CET,CFM,CFV,CGV,CH5,CHC,CHP,CHS,CI5,CIA,CID,CIG,CII,CIP,CJC,CK8,CKA,CKD,CKG,CKV,CLC,CLH,CLL,CLM,CLW,CLX,CMC,CMD,CMF,CMG,CMI,CMK,CMM,CMN,CMP,CMS,CMT,CMV,CMW,CMX,CNA,CNC,CNG,CNN,CNT
TỔNG CỘNG TÀI SẢN280,2134674240322,87435411083,224090110949,8957583469804,71901147689,20459373744,243083019514,97311472778,230497465034,120061531263,2696249961096,469814052554,75168980775,348525738678,16031932279,982478977283,36671413228231,282150989422,247353399688,83924159527,179690904680,1214313255244,5004546105522,198961550824,1955275823603,312128965936,681710963671,1348341662126,570234997545,2400608458855,159045236283,342433397788,1903648605167,7732922628873,208800669356,112126151993,3286394747457,300344738451,693392368374,560095502945,472528203638,502604335501,326407441079,3716531565479,57270151976,389452939687,1365731303230,938806486253,844157198011
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,1917466114237,61130673049,5409154878,2645282107542,4480779262,226997898,57169275010,14241464516,152039736634,36942496417,708354124931,145626229590,39401081895,18991235119,1606760779,773616921509,27547027570872,264124133735,153404447493,92956730492,57615487189,677202422843,3531604700641,121834183430,1045472119467,111828080345,58090148016,594290210487,314574316468,585687992836,98204824705,107282475508,724764081667,4050457236891,319819291476,93494001394,2187223931154,140023200075,333276356765,279692467406,217233777606,256527362466,151965857086,2053170365139,28138959585,198792552130,734765500056,790214502378,147048180234
I. Nợ ngắn hạn310,1888267538425,61130673049,5409154878,1966055155685,4480779262,226997898,56414275010,12149742280,151445660634,36942496417,321564471202,145626229590,38925748545,17979791117,1606760779,492777443677,8961342196450,237016278578,143889449697,92754656852,57486687567,673629378876,2169551439110,113034183430,1024694765723,111235226513,55914948016,587761327373,234265049642,48708403125,97686656804,104140085508,684262351622,3107582585935,258061405519,93494001394,1582876541629,137389448075,110057598962,135043898578,204096271046,255972362466,133165239655,1238362755945,28138959585,198792552130,714563560756,623639085063,132316581258
1. Phải trả người bán ngắn hạn311,996223876429,3386107618,4122313114,219743590675,100978979,,1183427057,217702225,59005375731,6327969832,23595707851,66049564156,7153086402,8759898685,,90867325993,682485544877,131057872776,32257034945,15784368669,19332584069,164737896226,130126571424,43892432675,323456984840,42561760187,30799851289,461756266621,111366573417,6151411082,,5538839116,207817035918,857643424579,19964734220,54607355536,148743015415,51051990469,7631895664,41381412915,55047135820,46746933864,15495485508,152955222726,2263989735,175580248447,627206698752,2438477798,4285536067
2. Người mua trả tiền trước ngắn hạn312,14815414612,17709675160,,812074247812,,,99399317,1077565780,61174838002,64775110,422731320,202499200,733676918,214509,716923381,67580705264,158304542009,8298554461,55554701277,,3831603945,10560282743,66009121856,6981718689,,1856430053,,47287561929,2810939045,2474141072,,552588350,36487208407,127366340201,7083073027,1492334944,3095567559,3919318832,387735544,18757156089,2359557350,311496771,191601555,3095567559,252253106,374642000,91894884,206575704953,21848773780
3. Thuế và các khoản phải nộp Nhà nước313,1924084965,557054837,221557126,56305410942,43603037,38420075,12165699324,163444099,469738697,868998460,40297796324,,6404176327,2148564595,165171114,17627157340,85688250218,12855498669,15031168,398450153,3935172524,15297462351,46336261242,10200736235,14185619695,14303550244,7727590581,30342618882,47414902894,11499391495,288552593,4002961770,29147576913,55848813437,15136857552,995431667,17110569216,2235534746,2930560361,4362718920,9261304458,3904286786,14690704492,22127920963,8760792283,3330710559,1998046863,5086943529,29976977681
4. Phải trả người lao động314,9109888013,,,10710797932,113000000,60127500,1219913543,235700000,1107965986,5400026000,10006031571,44510542988,1413724517,2528817000,,1982249562,53224659798,1351370211,5004391716,219779945,1514213003,29662153000,81998327117,4383067882,29268843546,33294270695,5754259325,14245996612,22641690368,7740980579,138971128,1532145238,68781289804,275196866702,,2753494887,22944299233,43720471697,17403415027,3284316439,2665453974,7926689528,9468893088,24898790763,452402477,10140519467,28537181462,19407900434,2062532330
5. Chi phí phải trả ngắn hạn315,3596580335,53954934,79414638,254570286785,276829745,,119159263,51683416,5655260192,466010649,3052627780,666096361,4942337252,659196356,797977407,111325943885,190700785543,1206763108,2422769410,263330951,4427354289,37849809778,297568799259,4918465850,458327470,300441200,595170861,5090991107,19763059859,1835118971,20000000,961246583,67382780547,468767643321,97022546356,,42236095754,13271731553,3064641309,16018188188,83084413,7860725652,42084530,6992864787,2127798814,7213141109,25020114911,,39816068751
6. Phải trả nội bộ ngắn hạn316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn318,49643929,,,3864449931,,71290323,,,912597243,,,,,,,995409091,339686665,203406061,,2365924453,,350000000,4000026884,6413590511,,,,1523594820,,,811284099,,,300954257814,,,,,467301935,,,977154218,,,,,,102880706552,25573886146
9. Phải trả ngắn hạn khác319,8980244178,4310976742,19870000,298687326643,,57160000,20430396197,836690279,329359835,578504822,32563731642,15509536131,14100866577,2673823292,37474004,33291269879,2203461069298,26993566120,568440535,44903628504,10019679010,602747426,456600689753,30940596846,48767580,1654068663,7732560931,23047751065,5327817403,980550555,1180707962,21628324095,6138670090,100626515162,6535568471,582577147,31615434432,2376025557,44574686888,2747047041,3321412373,4152426184,63721656988,32420991208,11429683087,1549573892,2220018975,225896502788,3206955713
10. Vay và nợ thuê tài chính ngắn hạn320,851919198962,35112903758,966000000,193352954059,3500000000,,22748244469,8884500000,19432626301,23022190192,208801757706,,3897999992,,,169107382663,4912233984717,54813357050,47253504559,28819174177,565048645,401716016112,1074371280016,3465638599,645046129370,,543800000,1111047261,18332696313,9630428572,94931955585,67424771397,225847305729,888329500178,112317073893,29795340922,1316251560020,,19540000000,43465103283,118328960719,178915771127,28788327467,993976346023,2852040083,,25762705319,59965352564,2968620000
11. Dự phòng phải trả ngắn hạn321,,,,,,,,,,,,,,,,,637587891467,,653872330,,2173891756,7132604247,,1379952400,,,,1521725000,,,,,,6515814267,,3202265862,,5933295500,12005772593,,840989082,1635311529,,,,,,,2148201284
12. Quỹ khen thưởng phúc lợi322,1648607002,,,116746090906,446367501,,-1551964160,682456481,3357898647,214021352,2824087008,18687990754,279880560,1209276680,-110785127,,37315781858,235890122,159703757,,11687140326,5720406993,12540361559,457983743,12230093222,17264705471,2761715029,1833774076,6607370343,8396380799,315185437,2499208959,42660484214,26333410274,1552000,65200429,880000000,14881079721,2051589641,5027955703,12188372857,3541566807,766486027,1895051916,,603716656,3726899590,1387496445,429029506
13. Quỹ bình ổn giá323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Nợ dài hạn 330,29198575812,,,679226951857,,,755000000,2091722236,594076000,,386789653729,,475333350,1011444002,,280839477832,18585685374422,27107855157,9514997796,202073640,128799622,3573043967,1362053261531,8800000000,20777353744,592853832,2175200000,6528883114,80309266826,536979589711,518167901,3142390000,40501730045,942874650956,61757885957,,604347389525,2633752000,223218757803,144648568828,13137506560,555000000,18800617431,814807609194,,,20201939300,166575417315,14731598976
1. Phải trả người bán dài hạn331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6934189003,,,,,,,,,
2. Người mua trả tiền trước dài hạn332,,,,,,,,,,,,,,,,,,,,,,,344171091184,,,,,,,,,,,,,,,,62017488550,,,,,,,,,,
3. Chi phí phải trả dài hạn333,,,,82348053565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn336,198575812,,,162755029987,,,,,,,,,,,,,7420964063,27107855157,,,,,,,,,,,,468437387325,212167901,,,25827536159,,,,,,,,,,,,,,128952604987,
7. Phải trả dài hạn khác337,,,,36861340756,,,755000000,1241017075,594076000,,,,,433840000,,280211908830,42964620348,,,202073640,,,89410534947,,1772353744,,,6528883114,3762216788,45157818667,180000000,3142390000,,15840076609,,,,,,,,555000000,,450000000,,,1142407800,5147284483,
8. Vay và nợ thuê tài chính dài hạn338,29000000000,,,334970759139,,,,,,,386789653729,,475333350,,,593764525,15434189701462,,,,,882582030,915207992277,8800000000,,,2175200000,,76547050038,15398616067,126000000,,34356604295,875003998098,61757885957,,604347389525,,161201269253,136119404801,320000012,,18800617431,814357609194,,,17534802500,32475527845,15132175036
9. Trái phiếu chuyển đổi339,,,,,,,,,,,,,,,,,2827214322278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Cổ phiếu ưu đãi (Nợ)340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả341,,,,62291768410,,,,,,,,,,577604002,,33804477,270424635641,,,,128799622,,13263643123,,,,,,,,,,,26203040090,,,,,,1594975024,,,,,,,,,-400576060
12. Dự phòng phải trả dài hạn342,,,,,,,,850705161,,,,,,,,,3471130630,,9514997796,,,2690461937,,,,592853832,,,,,,,6145125750,,,,,,,,,,,,,,1524729000,,
13. Quỹ phát triển khoa học và công nghệ343,,,,,,,,,,,,,,,,,,,,,,,,,19005000000,,,,,7985767652,,,,,,,,2633752000,,,12817506548,,,,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. VỐN CHỦ SỞ HỮU400,217208126085,26304738034,218680956071,6312301362262,67420368427,20232375846,185913744504,83070008262,78457728400,83119034846,1987895836165,324187822964,35767898880,329534503559,14425171500,208862055774,9124385657359,18026855687,93948952195,-9032570965,122075417491,537110832401,1472941404881,77127367394,909803704136,200300885591,623620815655,754051451639,255660681077,1814920466019,60840411578,235150922280,1178884523500,3682465391982,-111018622120,18632150599,1099170816303,160321538376,360116011609,280403035539,255294426032,246076973035,174441583993,1663361200340,29131192391,190660387557,630965803174,148591983875,697109017777
I. Vốn chủ sở hữu410,217208126085,26304738034,218680956071,6312301362262,67420368427,20232375846,185913744504,83070008262,78457728400,83119034846,1987895836165,323840218960,35767898880,329534503559,14425171500,208862055774,9124385657359,18026855687,93948952195,-9032570965,122002881588,537110832401,1472941404881,77127367394,909803704136,200300885591,623620815655,754051451639,255660681077,1814920466019,60840411578,235150922280,1178884523500,3682465391982,-111018622120,19092993855,1099170816303,160321538376,360116011609,280403035539,255294426032,246076973035,174441583993,1663361200340,29131192391,190660387557,630965803174,148591983875,697109017777
1. Vốn góp của chủ sở hữu411,182700000000,21332710000,217124400000,5404064320000,60500000000,20000000000,126500000000,94999560000,37324500000,67315960000,1469126680000,284000000000,27000000000,197099040000,10820000000,315399470000,3197524130000,45450000000,80000000000,30000000000,32864040000,310000000000,952593610000,40500000000,262075830000,120000000000,340000000000,110000000000,130000000000,866000000000,45610500000,150000000000,81000000000,2113396070000,160000000000,14325780000,978999980000,48000000000,324054150000,254525000000,80000000000,181558680000,155349000000,1018989900000,34155550000,113643250000,350996250000,88000000000,503927850000
- Cổ phiếu phổ thông có quyền biểu quyết411a,182700000000,21332710000,217124400000,5404064320000,60500000000,20000000000,126500000000,94999560000,37324500000,67315960000,1469126680000,284000000000,27000000000,197099040000,10820000000,315399470000,3197524130000,45450000000,80000000000,30000000000,32864040000,310000000000,952593610000,40500000000,262075830000,120000000000,340000000000,110000000000,130000000000,866000000000,45610500000,150000000000,81000000000,2113396070000,160000000000,14325780000,978999980000,48000000000,324054150000,254525000000,80000000000,181558680000,155349000000,1018989900000,34155550000,113643250000,350996250000,88000000000,503927850000
- Cổ phiếu ưu đãi411b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Thặng dư vốn cổ phần412,,540483262,-1769180000,-433150000,,,,,-190035000,,,,104470000,117631479073,2705242440,7584000000,387336668802,,3680199000,760959408,,,35628334646,20354652347,64847400000,464476156,60123448000,4122208000,,,2100000,42088848102,38500000000,27062540400,3167767978,,-228222222,,,-441950000,,1578837745,,,,-92500000,1695680000,15673900000,
3. Quyền chọn chuyển đổi trái phiếu413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Vốn khác của chủ sở hữu414,,,,,,,,,26253258694,,,,,416894111,,,6660084447,,,,,,3992982590,3000000000,,,,,,,,,,371662664388,,,,74025333919,,,,1637790000,,241575000000,,,,,
5. Cổ phiếu quỹ (*)415,-586200000,,,,,,,,,,,,-780000,-15609978140,-948763608,,,,,,,,,-573800000,,,,,,,,-55823611800,,-388000000,,,,,,,-5275156223,,,,,,-3270000,,-1012784684
6. Chênh lệch đánh giá lại tài sản416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Chênh lệch tỷ giá hối đoái417,,645813541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9045139457,,,,,,,,,,,,,,,
8. Quỹ đầu tư phát triển418,9071115794,2423912917,,230900226386,446367502,,12381398775,3215200730,9972905264,14616425633,87643379202,4649392000,7134429484,4143730451,336283327,299402809,311139047276,4498950000,,14099298268,18848061799,123983194243,57338225027,8642975684,343870353270,41157145436,103623271921,196676254641,63849723527,241803045516,9211921095,24907742820,129358942443,,891344168,3609637505,,14361131431,27259580782,438281768,111653709595,33579153164,2369598888,479579319,,67437030153,154760094103,23269865161,22399587678
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,,,,,,,,,,33018948676,,,,,,,,,,3418232123,839486989,,,,,,,,,93928484,,,,,,,,,,15698951039,,1222585887,,,,,,
11. Lợi nhuận sau thuế chưa phân phối421,26023210291,1361818314,3325736071,454268805674,6474000925,232375846,47032345729,-15144752468,5097099442,1186649213,398106828287,35190826960,1529779396,25853338064,1512409341,-247685045160,2124794696523,-31922094313,10268753195,-53892828641,66872547666,102288151169,384859113257,5203539363,239010120866,38679263999,100583614486,443252988998,61810957550,709191854400,5921961999,73977943158,930025581057,423982742876,-275077734266,1157576350,108631163568,23935073026,8802280827,5928789710,53216921621,23002075599,15500399218,-71714401725,-5024357609,9672607404,123517049071,21648218714,171794364783
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,11460237841,50142953,3308967950,264115077373,6408889308,8273450,,-16844847288,298212854,,84339737666,-72000000,1178607987,21329459559,241197,-302139865654,1986865245709,-31985638964,2449047317,-55516589218,48145679716,4429998104,262082843985,2429542524,88781032024,,8004993755,294418891941,7871170870,517673730309,5775876743,43991517342,680327761393,148480199205,-254337968727,,54161778957,883292406,-16757958762,982587804,38884422594,11539848013,1292568232,-127701377014,-3802405145,,46236754183,277607089,36845593998
- LNST chưa phân phối kỳ này421b,14562972450,1311675361,16768121,190153728301,65111617,224102396,47032345729,1700094820,4798886588,1186649213,313767090621,35262826960,351171409,4523878505,1512168144,54454820494,137929450814,63544651,7819705878,1623760577,18726867950,97858153065,122776269272,2773996839,150229088842,38679263999,92578620731,148834097057,53939786680,191518124091,146085256,29986425816,249697819664,275502543671,-20739765539,1157576350,54469384611,23051780620,25560239589,4946201906,14332499027,11462227586,14207830986,55986975289,-1221952464,9672607404,77280294888,21370611625,134948770785
12. Nguồn vốn đầu tư XDCB422,,,,,,,,,,,,,,,,4572839414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13. Lợi ích cổ đông không kiểm soát429,,,,223501160202,,,,,,,,,,,,128691388711,3096931030311,,,,,,38529139361,,,,19290481248,,,-2074433897,,,,755794513775,,,11767894957,,,19952914061,,4720436527,,474031122746,,,,,
14. Quỹ dự phòng tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Nguồn kinh phí và quỹ khác430,,,,,,,,,,,,347604004,,,,,,,,,72535903,,,,,,,,,,,,,,,-460843256,,,,,,,,,,,,,
1. Nguồn kinh phí431,,,,,,,,,,,,347604004,,,,,,,,,72535903,,,,,,,,,,,,,,,-1626603678,,,,,,,,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165760422,,,,,,,,,,,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG NGUỒN VỐN440,2134674240322,87435411083,224090110949,8957583469804,71901147689,20459373744,243083019514,97311472778,230497465034,120061531263,2696249961096,469814052554,75168980775,348525738678,16031932279,982478977283,36671413228231,282150989422,247353399688,83924159527,179690904680,1214313255244,5004546105522,198961550824,1955275823603,312128965936,681710963671,1348341662126,570234997545,2400608458855,159045236283,342433397788,1903648605167,7732922628873,208800669356,112126151993,3286394747457,300344738451,693392368374,560095502945,472528203638,502604335501,326407441079,3716531565479,57270151976,389452939687,1365731303230,938806486253,844157198011
KẾT QUẢ KINH DOANHMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,3215977580908,135335050160,94883175209,1307939076396,85209344106,1363075542,293676622715,12826738205,295011145160,116641627629,814199531520,629840476520,80379587152,123106972488,4790594679,95362496264,3182495930678,53871900184,387378730941,10553234905,182953363033,1255735107371,1304115194274,908245631120,3691795747506,661186027676,322588699271,17533257477305,1303898424872,517846240819,78642081396,771459885921,3721507572210,8168903017036,36172276710,173904126131,2648136725086,744403717267,383208049101,202066527362,724782834070,4609119646920,135974693252,2981374735211,14595496749,501965987611,3517120563949,599109926121,233265940693
2. Các khoản giảm trừ doanh thu02,7297762661,,,2862753,,,,,,193579716,,,,,,918380800,154752974558,,,,,660982911,9623734809,,71931185,,,,449153140,215966517,,,4270008679,2587230000,,,287511725,4689578941,,,1073058960,144536870,,496682505,,1004747532,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,3208679818247,135335050160,94883175209,1307936213643,85209344106,1363075542,293676622715,12826738205,295011145160,116448047913,814199531520,629840476520,80379587152,123106972488,4790594679,94444115464,3027742956120,53871900184,387378730941,10553234905,182953363033,1255074124460,1294491459465,908245631120,3691723816321,661186027676,322588699271,17533257477305,1303449271732,517630274302,78642081396,771459885921,3717237563531,8166315787036,36172276710,173904126131,2647849213361,739714138326,383208049101,202066527362,723709775110,4608975110050,135974693252,2980878052706,14595496749,500961240079,3517120563949,599109926121,233265940693
4. Giá vốn hàng bán 11,2972775353254,123138303516,89131552117,957030706453,80550160150,593504376,224745895395,8506698710,282398680794,89500204358,392833275765,510146611441,71129646853,88732103393,1111080858,67605719156,1363536334642,52707573503,356605810371,4127100460,162940686354,1129827064879,943311790627,862240328006,3284713078582,566882405039,183094099953,17133471045400,1106719683898,358698831238,68390436362,683448132533,2674271656182,6678448856034,38660318209,142415009670,2289208043677,534814779504,293150943216,186753084619,647693423369,4420079464757,85283089486,2603130935981,12055578396,392164749188,3232970473960,501213991636,59477460179
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,235904464993,12196746644,5751623092,350905507190,4659183956,769571166,68930727320,4320039495,12612464366,26947843555,421366255755,119693865079,9249940299,34374869095,3679513821,26838396308,1664206621478,1164326681,30772920570,6426134445,20012676679,125247059581,351179668838,46005303114,407010737739,94303622637,139494599318,399786431905,196729587834,158931443064,10251645034,88011753388,1042965907349,1487866931002,-2488041499,31489116461,358641169684,204899358822,90057105885,15313442743,76016351741,188895645293,50691603766,377747116725,2539918353,108796490891,284150089989,97895934485,173788480514
6. Doanh thu hoạt động tài chính21,27093233957,111625025,1983914,84055087529,2158568259,731146653,6474769261,3277090569,104944043,1779083452,6276617350,6199496831,99143810,9143485954,564674534,6865664,1132887018819,1726619,169444788,467785165,23393836890,85524015861,7618375802,762892824,11669536922,4726617107,9178573410,56691517873,6282311092,9876604572,2606026093,5780447923,39540377788,117112372968,1480030575,5645379,19401552662,15224142697,1533220852,1055190182,1522307251,2440418680,33469700,23620672789,73251058,1900912653,4235801569,5641571978,28763039213
7. Chi phí tài chính 22,58629896889,2960644878,2183425,31988385976,826574001,2170770,3083781157,661975806,749922464,874892960,54254037771,,189330197,-2888229039,,13234018995,1530082740833,176855705,4743220734,2918981685,362935316,14084468100,24640997555,305231943,71024314372,168690403,35965293,64526166795,6152144910,3620810310,8275440772,4605677383,12193761861,106625692316,11109098723,1883148880,142423723394,255021150,14098862916,2469960527,6684416499,9298938442,2185368107,137838539655,5649524,,3692149396,8125110541,754209564
Trong đó :Chi phí lãi vay23,39107005426,2960644878,2183425,30662631339,722631153,,1305531684,966596000,739144664,695890764,54248785468,,189330197,,,13228844241,1299557806901,176855705,4656970314,2918981685,357519506,13761948533,22391597755,213573306,19121439107,63575333,35965293,37452591017,6152144910,1976624035,3900959544,4560317383,4978577128,79575793432,9653845206,1883148880,97146953185,9266951,14084564075,2469960527,5334418155,9861494442,2185368107,88371144856,,,3062341000,8251298701,563166712
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",-663359212,,,,,,,,,,,,,-2345404312,,,120527827,,,,,,725746534,,,,6204984752,,,127094814471,,,,39365336571,,,,,,,,,,1234558746,,,,,-1537846744
9. Chi phí bán hàng25,126149961420,6000000,2203312089,68973060496,3595732430,,7155925020,194736446,,10158129479,,,,16258209833,,269001615,83761287417,,5901559799,,794394054,38262435844,29721108881,36538211124,45179244546,12297022274,1108620560,140042533374,38668636113,12032952183,466731503,34807343579,571746109750,519630290129,599729443,4831105852,111066677418,142859175750,2971277247,,15383101221,164300401568,5445991678,103385870567,434129366,2042430626,58180792329,,16311772875
10. Chi phí quản lý doanh nghiệp26,49865890101,6769982329,2586702591,97631272825,2190795262,761059553,8885727238,5051975705,6004660445,16086753867,41288666423,81852819864,8588649327,19913523139,2310180446,7087708188,543236178170,4345235712,16599963839,2237606287,17956909463,51450995378,148560953064,6239340555,112988621976,38020527610,32068007840,90205470215,90871533815,61316703615,3620384890,16728890470,185308624637,514463310829,722601952,23892392932,72429176103,47418453808,45930443292,13398517827,39814623117,17352134353,26484235505,95298182923,3395342985,62648898454,112790433235,72465913381,19805952584
11. Lợi nhuận thuần từ hoạt động kinh doanh30,27688591328,2571744462,961408901,236367875422,204650522,737487496,56280063166,1688442107,5962825500,1607150701,332100168911,44040542046,571104585,7889446804,1934007909,6254533174,640133961704,-3356038117,3697620986,1737331638,24292274736,106973176120,156600731674,3685412316,189488093767,48543999457,121665563787,161703779394,67319584088,218932395999,495113962,37650289879,313257788889,503625347267,-13439441042,888114176,52123145431,29590850811,28589743282,500154571,15656518155,384589610,16609478176,66079755115,-1221952464,46006074464,113722516598,22946482541,164141737960
12. Thu nhập khác31,840740363,1080408,32736537,11495481158,,,5988613595,11760000,63209659,486757549,2613940,2170324377,33207591,73894219,,63545832516,13492308602,6139184049,4255377686,13289247628,2872,1585941805,3050675599,716842646,2179673948,133696825,4272752343,33931160803,3187910655,1318153684,,803209163,7640414249,10654017708,3000,800393564,30107687797,336543770,1180590,7416014499,5253484495,14246830289,1899633401,35181569470,,,253276294,4192937477,5852312691
13. Chi phí khác32,1322156492,712899576,778517093,11340553924,13838895,36363636,2835353406,107287,14921139,38260577,140308477,1986183151,70955951,2007004037,726107,15348420997,60166246830,2719601281,133292794,12926253545,211141998,3998908750,5022877793,775845054,1375769837,172900000,1810018939,3382007195,2886235484,36769986,60476113,888098031,5075497447,11904166858,7300327497,33750545,7817196211,696380341,100123922,1056390418,2129654922,105997987,199274810,11885773798,,148392227,183440193,414118199,2572804915
14. Lợi nhuận khác40,-481416129,-711819168,-745780556,154927234,-13838895,-36363636,3153260189,11652713,48288520,448496972,-137694537,184141226,-37748360,-1933109818,-726107,48197411519,-46673938228,3419582768,4122084892,362994083,-211139126,-2412966945,-1972202194,-59002408,803904111,-39203175,2462733404,30549153608,301675171,1281383698,-60476113,-84888868,2564916802,-1250149150,-7300324497,766643019,22290491586,-359836571,-98943332,6359624081,3123829573,14140832302,1700358591,23295795672,,-148392227,69836101,3778819278,3279507776
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế50,27207175199,1859925294,215628345,236522802656,190811627,701123860,59433323355,1700094820,6011114020,2055647673,331962474374,44224683272,533356225,5956336986,1933281802,54451944693,593460023476,63544651,7819705878,2100325721,24081135610,104560209175,154628529480,3626409908,190291997878,48504796282,124128297191,192252933002,67621259259,220213779697,434637849,37565401011,315822705691,502375198117,-20739765539,1654757195,74413637017,29231014240,28490799950,6859778652,18780347728,14525421912,18309836767,89375550787,-1221952464,45857682237,113792352699,26725301819,167421245736
16. Chi phí thuế TNDN hiện hành51,8137437338,548249933,198860224,67943608241,40930104,77021464,12400977626,,1212227432,868998460,18195383753,8961856312,182184816,1957627929,421113658,2543938,75509656139,,,476565144,878937507,6702056110,32558137128,949877429,40062909036,9825532283,24973155123,45998790246,14880493401,21770222033,288552593,7578975195,65716886027,74959571741,,497180845,19878868800,6179233620,2930560361,1905857776,4432311547,4452600616,4102005781,24166247997,,9856285121,22235827537,8445153550,30038772384
17. Chi phí thuế TNDN hoãn lại52,,,,2618224189,84769906,,,,,,,,,-525169448,,4067160,-100335078622,,,,-581386835,,-521151019,-97464360,,,,-2579954301,-1199020822,206697750,,,,-612126383,,,,,,,15537154,95106454,,-1040281825,,,567126985,-3090463356,2428043746
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,19069737861,1311675361,16768121,165960970226,65111617,624102396,47032345729,1700094820,4798886588,1186649213,313767090621,35262826960,351171409,4523878505,1512168144,54445333595,618285445959,63544651,7819705878,1623760577,23783584938,97858153065,122591543371,2773996839,150229088842,38679263999,99155142068,148834097057,53939786680,198236859914,146085256,29986425816,250105819664,428027752759,-20739765539,1157576350,54534768217,23051780620,25560239589,4953920876,14332499027,9977714842,14207830986,66249584615,-1221952464,36001397116,90989398177,21370611625,134954429606
Lợi ích của cổ đông thiểu số,,,,-24192758075,,,,,,,,,,,,-9486899,361061209935,,,,,,-184725901,,,,1780306803,,,318050939,,,,78557258963,,,65383606,,,7718970,,-1484512744,,10262609326,,,,,1100217
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,19069737861,1311675361,16768121,190153728301,65111617,624102396,47032345729,1700094820,4798886588,1186649213,313767090621,35262826960,351171409,4523878505,1512168144,54454820494,257224236024,63544651,7819705878,1623760577,23783584938,97858153065,122776269272,2773996839,150229088842,38679263999,97374835265,148834097057,53939786680,197918808975,146085256,29986425816,250105819664,349470493796,-20739765539,1157576350,54469384611,23051780620,25560239589,4946201906,14332499027,11462227586,14207830986,55986975289,-1221952464,36001397116,90989398177,21370611625,134953329389
19. Lãi cơ bản trên cổ phiếu,773,615,1,364,11,312,3718,179,1286,176,2136,1242,130,242,1629,1727,723,14,977,541,5041,2841,1289,691,5159,2300,2723,13530,4149,2214,32,2592,29283,1558,-1296,808,564,3770,789,194,1969,568,704,549,-358,2851,2202,1717,2791
