Mã CK,SZE,SZG,SZL,TA6,TA9,TAB,TAL,TAN,TAR,TAW,TB8,TBC,TBD,TBR,TBW,TBX,TCD,TCH,TCJ,TCK,TCL,TCM,TCO,TCR,TCT,TCW,TDB,TDC,TDF,TDG,TDH,TDM,TDP,TDS,TDT,TDW,TED,TEG,TEL,TET,TFC,TGG,TGP,TH1,THB,THD
I. Nợ ngắn hạn310,217587132942,213194774083,205204026280,346598036054,1760311605750,12265432466,2084244234237,4701544461,1416846539617,66734444450,45551919937,141801357392,1187764113680,8052688848,47561723959,4078372875,4255953243374,1462547939997,61883300577,880434068964,422039915170,1518279328682,1027033408617,612665481836,7382596579,266703531395,19651726813,3006280508227,440125993270,477355475938,579892448551,238256386682,2683387363973,99718695457,314780803618,287479789484,935619139618,102106416756,45739130467,3588300011,513109306354,101612682945,52326050637,475120498781,122567574087,138116817852
1. Phải trả người bán ngắn hạn311,44864163171,10706856015,18508855971,156128981686,827149304073,7933768672,426362526808,2000046746,8114508418,40967450033,24167229906,27013867172,365386187763,447336200,6971929130,1847416682,679436578769,662858576193,18437753551,109781106789,272139149586,478546318217,361989289008,153679652381,2428478078,97299619998,2815294061,634686963173,80540125086,127741953394,143721507927,6574116373,272296473840,70295260436,11697524754,106249670736,87176344815,8026612352,9276154079,13784727,112733211048,5259299671,1258402029,17029517137,6577190637,100779244856
2. Người mua trả tiền trước ngắn hạn312,7596526465,4175430184,2499720818,81018346264,557536647658,234429698,132753661202,50838000,100797254417,2067406316,,,130097032935,,202669321,,2530013448644,203578337317,1579483950,170387866977,507226395,48647104622,305369419585,35296261823,,45282683,,334372178262,5558851857,,256643922488,,41453853254,13580883,6090853332,6346906530,440767024307,1249274250,2198716288,48038126,316179156,193117705,,4843100071,31923466488,6710070
3. Thuế và các khoản phải nộp Nhà nước313,3508817676,12534625046,3377248596,34267591,3336218061,1046802475,220796943909,1120930159,5856356824,1415673336,1350919326,7468808443,23375210141,972012091,1864856944,226740447,20886159966,98686399069,19414119,102176579665,12301808364,18926018214,14733114737,5220150,3119609930,17041632796,6456032352,23855587443,4577101531,1026088104,5109737620,6764014596,37469796881,202184798,1588529254,114623938067,17799720867,13778418813,1890297399,1203196661,14271541588,92833630,1456498074,29004459,15995028487,21503427645
4. Phải trả người lao động314,23408299522,5845000004,4629229000,399648093,40757854959,271366750,32248158203,969911065,680476004,13084802923,11421206032,7463170454,53521239629,329701022,19648696571,726357659,10067972681,,356741571,10583053819,34736612159,119770695281,498798505,8770796510,1166247032,67593754193,606987000,14412478219,8327078588,124450150,1100731291,,21332778266,22952006682,19239545593,27335354030,134036637400,1131853901,4237170532,,23538537565,1328112511,3113042000,3095607829,11755517366,1126741493
5. Chi phí phải trả ngắn hạn315,22493079548,19336469375,45502692243,,,64301370,119808861536,75172858,3308099543,468324911,38775939,1323090443,6474790160,847142552,239901100,44000000,16321265374,204327375177,1499111618,181922159369,20400109725,10813832625,10747944393,9812611191,373822290,9993622553,6843419,68841286427,8081882549,1730695582,13159146043,3218793246,5841165147,4383155283,374300826,1139884955,73046558539,9625261219,1948639384,142590480,4734762972,488695890,67661052,177191717,205000000,351437362
6. Phải trả nội bộ ngắn hạn316,,,,9125302918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067451852,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn318,21635043460,101992312377,25626680960,,,115500000,9351223474,,,,216000000,,175777954,38760176,,,216166668,22317647706,,9470925360,,,115000000,,11318183,,,,6542570215,1253826000,1615391000,,5701816852,,,,1171915341,,200543203,,,531146016,,261816312,,7624437398
9. Phải trả ngắn hạn khác319,50782491731,44180066716,6706897466,53798853599,104141433785,99263505,309299651404,119855110,224534482,3163492854,505435276,52852813815,45988189917,2674135974,1772066384,438633421,99111571236,262984736520,39872599293,191043818416,31149293587,24705401151,18568695772,351611431,62268649,13469846077,8606006740,474637578419,69951508582,,143993612287,274951667,2858332303,1361852389,4443031584,9787931188,147622661267,4751531336,15262302878,1168946185,530882929,3366396133,6860677434,98386265141,53300861003,5550333386
10. Vay và nợ thuê tài chính ngắn hạn320,26580000000,,78872555560,45608428362,222048411739,2499999996,805041767413,200000000,1297865309929,,7398389413,45420833333,534604004917,,2293000000,,890272313119,1050000000,100000000,104383708499,32249712000,711645430860,313531536000,404749328350,,9766555768,,1437807463273,251678166250,345478462708,,112479097295,2296433147430,,271000646674,13152304202,9385403406,63357778516,10682300579,,354365152545,89022034661,38118338159,350954039387,,
11. Dự phòng phải trả ngắn hạn321,153198136,,,,,,,,,,,,7952244057,287887000,,,,148968670,,539969682,,,,,,,,,2317179638,,,1126106550,,,,,2000000000,,,,,,,,,
12. Quỹ khen thưởng phúc lợi322,16565513233,14424014366,19480145666,484207541,5341735475,,28581440288,164790523,,5567294077,453964045,258773732,20189436207,2455713833,14568604509,795224666,9627766917,6595899345,18196475,144880388,18556003354,105224527712,1479610617,,220852417,51493217327,1160563241,17666973011,2551528974,,14548399895,107819306955,,510654986,346371601,8843799776,21545421824,185686369,43006125,1011743832,2619038551,1331046728,1451431889,343956728,2810510106,1174485642
13. Quỹ bình ổn giá323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Nợ dài hạn 330,38453000000,2798235497151,1050601301292,,27858554252,7500000008,3015678760844,2750000000,5487703817,,10750000,13177657526,75659972782,1965369123,17939577527,,1140868180764,394769891338,,55400643181,37943326756,105515372321,589358693864,9770370173,,14631812981,,195535090187,376866438955,139551436027,35313088343,267188000000,240625317941,51048000000,20785009469,34208279623,1694947545,153107614285,110500000,362004000,12983735851,17794110174,3000000000,270765253201,9863202726,7971570289
1. Phải trả người bán dài hạn331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312904575,
2. Người mua trả tiền trước dài hạn332,,,16084000000,,,,,,,,,,,,,,,,,,,,,,,,,168796000,,,,,,,,,,,,,,,,,,
3. Chi phí phải trả dài hạn333,,16656124012,9356992088,,,,,,,,,,,,,,6366363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn336,,2699908346466,619415023667,,,,25873446063,,,,10750000,3498490859,,,,,,8502286795,,1047272769,,,,,,,,,,,,,,,,,545454545,,,,,,,8321448864,,
7. Phải trả dài hạn khác337,,81671026673,275228420469,,,,127886676360,,,,,,,1965369123,2373000000,,1022028000,76663950921,,10136464408,36131626504,16734763200,,1664421173,,8766612981,,42724140600,3065650093,718860240,34449321112,,1478516450,51048000000,,,1149493000,,110500000,362004000,,276900000,,92445002869,9550298151,7971570289
8. Vay và nợ thuê tài chính dài hạn338,38453000000,,130516865068,,27679000000,7500000008,2694714741084,2750000000,4174174318,,,9679166667,38742516596,,15566577527,,1130629670979,303367282646,,43848676711,1811700252,59608479700,575810260000,8105949000,,5865200000,,152642153587,364497718492,138832575787,,267188000000,239146801491,,20785009469,34208279623,,152029875792,,,10733735851,1749999850,3000000000,169998801468,,
9. Trái phiếu chuyển đổi339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Cổ phiếu ưu đãi (Nợ)340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả341,,,,,,,143320123277,,1313529499,,,,,,,,2322958565,6199126290,,368229293,,2499217134,13548433864,,,,,,,,733017231,,,,,,,1077738493,,,2250000000,15767210324,,,,
12. Dự phòng phải trả dài hạn342,,,,,179554252,,23883774060,,,,,,36917456186,,,,527159584,37244686,,,,26672912287,,,,,,,,,130750000,,,,,,,,,,,,,,,
13. Quỹ phát triển khoa học và công nghệ343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9303070370,,,,,,,,,,,,,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. VỐN CHỦ SỞ HỮU400,361502051145,907645136227,630110068092,35525436669,165051868653,76650298538,4224215417175,22030243775,1192063162864,68317235596,20405304583,1364838153498,630248222611,166034251852,169264499738,20217659846,3868529633506,13448838949383,-38333682248,-38208520495,650653139545,2271739713368,336935042187,364853410257,335650497230,372162428673,91910369560,1209243349732,764570068740,244250446437,70484513943,2518214075404,1019903555466,212678605824,279616058222,242408710678,359216838498,1478080569590,25268897547,115024260375,387622118269,181104430052,154709952489,33423939901,147577902965,4313573203884
I. Vốn chủ sở hữu410,361502051145,907645136227,630110068092,35549736669,165051868653,76650298538,4224215417175,22229327250,1192063162864,68317235596,20405304583,1364838153498,611903728546,166034251852,169264499738,20217659846,3868529633506,13448838949383,-38333682248,-41085127817,650653139545,2271739713368,336935042187,364853410257,335650497230,372162428673,91910369560,1209243349732,759864320791,244250446437,70484513943,2518214075404,1019903555466,212678605824,279616058222,242408710678,359216838498,1478080569590,25268897547,115024260375,387622118269,181104430052,154709952489,33423939901,147187902965,4313573203884
1. Vốn góp của chủ sở hữu411,300000000000,548980000000,291148400000,30000000000,124197870000,65000000000,2970000000000,16136900000,783197770000,50000000000,12500000000,635000000000,324863920000,80600000000,98500000000,15102800000,3358206410000,6682158430000,100000000000,238500000000,301584360000,1019554820000,313206220000,454328360000,127880000000,199910200000,82300000000,1000000000000,300000000000,232427320000,1126527670000,1100000003750,882222500000,122253930000,238965340000,85000000000,125000000000,1208065620000,50000000000,57029400000,168299940000,272999900000,116985750000,135392670000,114245700000,3849999720000
- Cổ phiếu phổ thông có quyền biểu quyết411a,300000000000,548980000000,291148400000,30000000000,124197870000,65000000000,2970000000000,16136900000,783197770000,50000000000,12500000000,635000000000,324863920000,80600000000,98500000000,15102800000,3358206410000,6682158430000,100000000000,238500000000,301584360000,1019554820000,313206220000,454328360000,127880000000,199910200000,82300000000,1000000000000,300000000000,232427320000,1126527670000,1100000003750,882222500000,122253930000,238965340000,85000000000,125000000000,1208065620000,50000000000,57029400000,168299940000,272999900000,116985750000,135392670000,114245700000,3849999720000
- Cổ phiếu ưu đãi411b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Thặng dư vốn cổ phần412,,,5486321235,,,-90909091,109480005000,,200000000000,,,,11534860000,,,,244421087982,843107629350,640000000,,20712126338,22720075000,,86520960000,,,22714000,1841123840,70190665888,,,597645660707,23172833889,17708334281,,,815232000,3467545239,,,17173652728,,,17147588054,4078650000,-248500000
3. Quyền chọn chuyển đổi trái phiếu413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Vốn khác của chủ sở hữu414,,,,,,,,,,,,,,,,1125670663,,237632352429,,,1512000000,,,,,,,7777275814,,,,,-2497830555,,,,26086235108,,,,,,,7262420104,,
5. Cổ phiếu quỹ (*)415,,,-22323606949,,,,,,,,,,-1360000000,,-140000000,,,,,,,-5939990000,,-76940800,,,,,,,,,,,,,,,,,,,-75000000,-981900,,
6. Chênh lệch đánh giá lại tài sản416,,,,,,,,,,,,,,,,,,,,-6603261351,,,,,,,,,,,,,,,,,-9876529675,,,,,,,,,
7. Chênh lệch tỷ giá hối đoái417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Quỹ đầu tư phát triển418,25100688718,94403770564,84380585396,5549736669,23261767489,,,,,6771784416,4813339681,302057614951,63366340750,65966394457,40306178908,3485918238,584650517,,841045187,7255895251,198962141295,227482515048,,19599451064,51418611387,91492025332,,122706380871,235822094322,,,447342762916,16200000000,26752106672,,52373209808,89435416,,13449132,36918381798,,2889093455,17261272049,23940421305,19425742547,11488684620
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,,,,,,,,,,,,,,,,,,,2946368209,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,,,,,,6315008316,,,570615390,,,,,,,917191749,,,,,75807893614,,20623551856,,,,,,,,,,,,,,,13449132,,,,3650000000,,,
11. Lợi nhuận sau thuế chưa phân phối421,36401362427,264261365663,271418368410,,17592231164,11741207629,639946057721,6092427250,108975732919,10974835790,3091964902,139007922509,213498607796,19467857395,30438654830,503270945,142756896439,1986256319639,-139814727435,-286136930351,105466176752,921480854848,23337835207,-216141971863,156351885843,49118115347,9587655560,47001175998,153851560581,11823126437,-1056096621098,373225648031,100806052132,45964234871,40650718222,105035500870,122948477490,112957091011,-24781476030,21076478577,202609621099,-174604722763,16887930440,-150357328958,9437810418,452333299264
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,5829494743,107737994167,166846056577,,,7538709541,2369436359,1040380326,166844837368,3075103323,,56230378364,69261278395,16546790891,,401401136,71637190297,1138952914437,-135308163607,-323425193659,23745459217,645416566369,2063725736,-155072464929,145535206951,6928891328,3765719270,-367951755770,140243566788,6164900178,-751406833559,168817783337,6888505704,45444283635,25855968958,48952513953,59389397986,102253696622,-25408364682,19009345697,41659610651,-160988101567,2701400200,-175313720567,5626211704,368137837781
- LNST chưa phân phối kỳ này421b,30571867684,156523371496,104572311833,,17592231164,4202498088,637576621362,5052046924,-57869104449,7899732467,3091964902,82777544145,144237329401,2921066504,30438654830,101869809,71119706142,847303405202,-4506563828,37288263308,81720717535,276064288479,21274109471,-61069506934,10816678892,42189224019,5821936290,414952931768,13607993793,5658226259,-304689787539,204407864694,93917546428,519951236,14794749264,56082986917,63559079504,10703394389,626888652,2067132880,160950010448,-13616621196,14186530240,24956391609,3811598714,84195461483
12. Nguồn vốn đầu tư XDCB422,,,,,,,,,,,,,,,159666000,,,,,64000000,,,,,,,,,,,,,,,,,,,,,,,,,,
13. Lợi ích cổ đông không kiểm soát429,,,,,,,498474346138,,99889659945,,,288772616038,,,,,121643396819,3699684217965,,2888800425,22416335160,10633544858,390986980,,,31642087994,,29917393209,,,53465041,,,,,,94153988159,153590313340,23475313,,-461095558,79820159360,,39151296,,
14. Quỹ dự phòng tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Nguồn kinh phí và quỹ khác430,,,,-24300000,,,,-199083475,,,,,18344494065,,,,,,,2876607322,,,,,,,,,4705747949,,,,,,,,,,,,,,,,390000000,
1. Nguồn kinh phí431,,,,-24300000,,,,-199083475,,,,,1150546600,,,,,,,2876607322,,,,,,,,,2819505048,,,,,,,,,,,,,,,,390000000,
2. Nguồn kinh phí đã hình thành TSCĐ432,,,,,,,,,,,,,17193947465,,,,,,,,,,,,,,,,1886242901,,,,,,,,,,,,,,,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG NGUỒN VỐN440,617542184087,3919075407461,1885915395664,382123472723,1953222028655,96415731012,9324138412256,29481788236,2614397406298,135051680046,65967974520,1519817168416,1893672309073,176052309823,234765801224,24296032721,9265351057644,15306156780718,23549618329,897626191650,1110636381471,3895534414371,1953327144668,987289262266,343033093809,653497773049,111562096373,4411058948146,1581562500965,861157358402,685690050837,3023658462086,3943916237380,363445301281,615181871309,564096779785,1296530925661,1733294600631,71118528014,118974564386,913715160474,300511223171,210036003126,779309691883,280008679778,4459661592025
KẾT QUẢ KINH DOANHMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,396436407429,439780982222,488191875766,250862673054,3455603546641,82088399367,1684453453400,22624050636,4235655716633,230030851186,353149272622,538668435744,2248612114714,7542406993,175479382589,17804147615,1160299970194,4667203450641,8090844860,285830605306,1631183620056,3810904287996,3538239728906,914263719497,27109145516,1059622547008,66878891051,1194959391955,483049215328,1471321770177,48996847797,544406057033,4379117758945,1502532977817,563129638093,1318138920826,1365232607982,298751951743,65233665021,23541850564,907985807064,484211020868,310279276443,689777950873,1655106128284,1021307507849
2. Các khoản giảm trừ doanh thu02,,,,,,5462253,,,17424500,,,,,,,,550221297,,,4916667,,453181294,,5550262363,,,,24387302042,3376376704,,,,,5951371643,,9107583,2760944703,,342485692,,3836969202,266062209,,,30521737882,47676781918
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,396436407429,439780982222,488191875766,250862673054,3455603546641,82082937114,1684453453400,22624050636,4235638292133,230030851186,353149272622,538668435744,2248612114714,7542406993,175479382589,17804147615,1159749748897,4667203450641,8090844860,285825688639,1631183620056,3810451106702,3538239728906,908713457134,27109145516,1059622547008,66878891051,1170572089913,479672838624,1471321770177,48996847797,544406057033,4379117758945,1496581606174,563129638093,1318129813243,1362471663279,298751951743,64891179329,23541850564,904148837862,483944958659,310279276443,689777950873,1624584390402,973630725931
4. Giá vốn hàng bán 11,333799424758,177333630942,326265121624,241061163887,3314045431975,71401769988,1264525563623,12596176615,4122291555108,203671777745,324137883274,210579398288,1916592138721,2625160060,119355039619,13971561761,922456209102,2870142152384,9241174159,221959654887,1382737677902,3193788377991,3439593382157,845740657037,28917925528,806291822691,24884501728,566533888039,407194231400,1409254118076,27996276728,286790585123,3981793088625,1456579660588,429516186006,857064079274,1031018348781,279246852208,58551359085,15412342086,643189648013,437627283384,279993506289,629396758298,1506753078857,950470076708
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,62636982671,262447351280,161926754142,9801509167,141558114666,10681167126,419927889777,10027874021,113346737025,26359073441,29011389348,328089037456,332019975993,4917246933,56124342970,3832585854,237293539795,1797061298257,-1150329299,63866033752,248445942154,616662728711,98646346749,62972800097,-1808780012,253330724317,41994389323,604038201874,72478607224,62067652101,21000571069,257615471910,397324670320,40001945586,133613452087,461065733969,331453314498,19505099535,6339820244,8129508478,260959189849,46317675275,30285770154,60381192575,117831311545,23160649223
6. Doanh thu hoạt động tài chính21,4918166987,23067685935,24777176324,264009069,4914221096,90869027,921847560379,1366466,12185549084,965330450,4986467,12288831724,6575946884,4314484658,2616788044,265031,285012979301,138510833150,78738646,20502947968,11505783614,91513590780,17846780317,9572939767,21352906822,8329697502,2801755644,128655192750,248229170,2169569984,3205208047,26933342162,48909430957,4977734380,5837693694,138383649,7350463514,43421371573,14577106,3962348160,29170876841,1127957213,3798277906,38147719855,1907090280,91356348078
7. Chi phí tài chính 22,2262016000,671800093,3907316743,,13545877342,995770303,201173971651,309120812,132890426754,,1364942394,5203793931,34073782949,-23553145431,412062341,10985750,238330959324,9126072194,856986,14275774546,503814945,64667337343,47449212434,31956022911,,1584027093,,163549019316,44386793563,30294630276,953105100,45116475140,189039731308,144090829,31356138135,1629856032,887662625,12029581267,370571932,,31318662934,6306067898,5740392976,30515195103,22630137,-20427726974
Trong đó :Chi phí lãi vay23,2262016000,1175109492,3907094318,,13545877342,968599316,171884526348,309120812,128880902122,,1364942394,5183835617,27525674895,24397260,175141752,10985750,205456093873,,856986,14275774546,503814945,24884411885,47449212434,22527479218,,1421775223,,163549019316,43809671573,30075766122,,9325942209,183334776938,130781,18537003192,1629856032,718952840,5526620967,370571932,,16401899683,8801686729,4460575463,10846709032,22630137,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,,,,,,250417991,,-21169513,,,-1614313122,,,,,16932540167,,,-1209423805,21920604178,,,,,54932551,,2728230015,,-641619,8158320,,4815347693,,,,,-80555547,,,19314400094,191478218,,-1381717209,,
9. Chi phí bán hàng25,,20737505348,4356375380,,,1977923826,56729376084,54347309,26383700113,1213380000,11464281644,,43528242684,673297167,,,63650485617,251231226545,,2602280693,30590906571,154257848574,4203321885,70923624437,1329283302,41023223828,,80370054452,22183870345,21588654172,2003028959,,52976610716,12257871350,18018742975,249280570881,,,,,27612404371,30373783903,5051779372,35194667189,135498938959,1706285048
10. Chi phí quản lý doanh nghiệp26,29358346575,35092620563,44903256752,9056884995,98131436049,2918513144,195830099070,4779558468,31516736709,17092890254,12360850510,64375910212,81097025190,28410036038,20457245126,3739388351,128009889288,160649679490,3468591060,15195023426,73599936434,149830742745,29937208322,34112439284,4608072816,83765272033,4384493643,61662218808,20576503747,4787189128,356317404939,14194830163,62711538629,35563055871,74228445109,151989037834,225885744635,23964292773,5289953184,6970597480,60958437154,26252918640,6162176753,5398141776,43093747671,26442081590
11. Lợi nhuận thuần từ hoạt động kinh doanh30,35934787083,229013111211,133536981591,1008633241,34795022371,4879828880,888292421342,4886213898,-65279746980,9018133637,3826301267,269183851915,179896872054,3701543817,37871823547,82476784,109247725034,1514565153178,-4541038699,51086479250,177177671996,339420390829,34903384425,-64446346768,13606770692,135342831416,40411651324,429840332063,-14420331261,7566106890,-335059601562,225237508769,146321568317,-2985338084,15847819562,58304652871,112030370752,26852041521,693872234,5121259158,189554962325,-15295659735,17129698959,26039191153,-58876914942,106796357637
12. Thu nhập khác31,4445007151,227972948,2855837353,452084890,291407616,412691243,4493280051,1212498802,19482365915,1707181642,77519860,1534217713,605927851,771630969,1823329413,32350690,43810807400,14925827554,636398165,1381929212,7215616,18034863893,1588935829,6555820344,,360810366,146504602,6915203499,37124030668,2020150801,34442870149,268254540,449681592,3876836454,1088189890,15546778022,437652378,74621534,24561492,2956624138,270562498,1402264543,17500280,11779497451,69585848858,440499029
13. Chi phí khác32,707659953,77706257,10029278520,27646613,491518450,47776560,17172144935,932143082,1625384801,244104531,,744184439,91533065,533187879,1636934196,12957665,13565297530,106940543647,601923294,15328343756,168826313,7026868616,2648326372,3178980510,17857662,1184673284,,5634933232,1313621347,2911290423,2745477135,199822197,18102213115,104941056,555450935,3552079458,2057578243,19458148916,92603600,1657861012,1476437913,854759577,203708329,12551891056,4764451952,1539960937
14. Lợi nhuận khác40,3737347198,150266691,-7173441167,424438277,-200110834,364914683,-12678864884,280355720,17856981114,1463077111,77519860,790033274,514394786,238443090,186395217,19393025,30245509870,-92014716093,34474871,-13946414544,-161610697,11007995277,-1059390543,3376839834,-17857662,-823862918,146504602,1280270267,35810409321,-891139622,31697393014,68432343,-17652531523,3771895398,532738955,11994698564,-1619925865,-19383527382,-68042108,1298763126,-1205875415,547504966,-186208049,-772393605,64821396906,-1099461908
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế50,39672134281,229163377902,126363540424,1433071518,34594911537,5244743563,875613556458,5166569618,-47422765866,10481210748,3903821127,269973885189,180411266840,3939986907,38058218764,101869809,139493234904,1422550437085,-4506563828,37140064706,177016061299,350428386106,33843993882,-61069506934,13588913030,134518968498,40558155926,431120602330,21390078060,6674967268,-303362208548,225305941112,128669036794,786557314,16380558517,70299351435,110410444887,7468514139,625830126,6420022284,188349086910,-14748154769,16943490910,25266797548,5944481964,105696895729
16. Chi phí thuế TNDN hiện hành51,10010768887,44298087907,23469766794,288037411,7530914690,1042245475,194701835609,114522694,10475658505,2581478281,811856225,41263278778,36173937439,1018920403,7619563934,,27674813698,287784759102,,1419873908,30788062496,70383738998,12620534131,,2772234138,32185617399,8189775064,14959737013,7782084267,1016741009,788546317,20898076418,35933545527,266606078,1585809253,13115100262,23551418352,3874126088,,1501419404,30121193331,,2756960670,310508397,2015086558,21501434246
17. Chi phí thuế TNDN hoãn lại52,-910502290,,-1678538203,,,,-4188228993,,248498921,,,89600145,,,,,386437716,13313874096,,,,1975516144,-73899468,,,-243074622,,-1308298821,,,552618062,,-1182055161,,,1101264256,18323331,923351927,,,-3312880957,2119352866,,,117796692,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,30571867684,184865289995,104572311833,1145034107,27063996847,4202498088,685099949842,5052046924,-58146923292,7899732467,3091964902,228621006266,144237329401,2921066504,30438654830,101869809,111431983490,1121451803887,-4506563828,35720190798,146227998803,278069130964,21297359219,-61069506934,10816678892,102576425721,32368380862,417469164138,13607993793,5658226259,-304703372927,204407864694,93917546428,519951236,14794749264,56082986917,86840703204,2671036124,625830126,4918602880,161540774536,-16867507635,14186530240,24956289151,3811598714,84195461483
Lợi ích của cổ đông thiểu số,,,,,,,20283691051,,-277818843,,,50593462121,,,,,40312277348,266493963231,,-1568072510,167622379,2004842485,23249748,,,6029217687,,2516232370,,,-13585388,,,,,,23281623700,-2289807901,-1058526,,34064088,-3250886439,,-102458,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,30571867684,184865289995,104572311833,1145034107,27063996847,4202498088,664816258791,5052046924,-57869104449,7899732467,3091964902,178027544145,144237329401,2921066504,30438654830,101869809,71119706142,854957840656,-4506563828,37288263308,146060376424,276064288479,21274109471,-61069506934,10816678892,96547208034,32368380862,414952931768,13607993793,5658226259,-304689787539,204407864694,93917546428,519951236,14794749264,56082986917,63559079504,4960844025,626888652,4918602880,161506710448,-13616621196,14186530240,24956391609,3811598714,84195461483
19. Lãi cơ bản trên cổ phiếu,870,3255,3059,267,1678,647,2147,2343,-739,1580,1600,2804,4449,215,3095,67,231,1279,-451,1563,4067,2548,679,-1344,846,2629,3707,4146,454,283,-2705,1741,1087,37,619,6598,5085,42,125,862,9563,,1383,1799,226,219
20. Lãi suy giảm trên cổ phiếu71,870,3255,3059,,,,2147,2343,,,,2804,,215,,,231,,,,4067,2548,679,,,2629,3707,4146,454,283,-2705,,1087,,619,6598,,42,125,,9563,,,,226,219
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Lợi nhuận trước thuế01,39672134281,229163377902,126363540424,1433071518,34594911537,5244743563,875613556458,5166569618,-47422765866,10481210748,3903821127,269973885189,180411266840,3939986907,38058218764,,139493234904,1422550437085,,37140064706,177016061299,350428386106,33843993882,-61069506934,13588913030,134518968498,,431120602329,,6674967268,-303362208548,225305941112,128669036794,786557314,16380558517,70299351435,110410444887,7468514139,625830126,,188349086910,-14748154769,16943490910,25266797548,5944481964,105696895729
2. Điều chỉnh cho các khoản,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khấu hao TSCĐ và BĐSĐT02,32253376217,78532502474,76643300620,630777993,27891568877,2480751120,59614186619,1442885035,43669181990,4562278204,2376679704,83445372469,35672525834,733255102,19126325389,,21536510198,122095953328,,7494419878,29628242220,121703897910,32059512205,29720627166,1870521398,35265901736,,19483051374,,963955020,5620242847,141634521539,63725851191,4263932030,30221370569,71257538526,13363789678,4897347896,373939142,,4957723608,11771866156,6138552198,3212096040,10047190858,72164309
Các khoản dự phòng03,1129337307,3178295414,504747268,,-2906383627,,15287229716,,7590469513,236582765,,70977470,3508016687,-6874578323,-291005299,,9363051783,-6604022965,,-23564279960,103708462,7854865417,-1554573920,6801884293,,213601247,,1477561715,,,331867503651,26215741136,147368901,188377971,340115750,820851999,3287899660,3762961290,-456459705,,3249329,-104206342647,,-100290000,,-20427727025
