Mã CK,ICF,ICG,ICI,ICN,ICT,IDC,IDI,IDJ,IDP,IDV,IFS,IHK,IJC,ILA,ILB,ILC,ILS,IME,IMP,IN4,INC,ING,INN,IPA,IRC,ISG,ISH,IST,ITA,ITC,ITD,ITQ,ITS,JOS,JVC,KBC,KCB,KCE,KDC,KDH,KDM,KGM,KHD,KHG,KHP,KHS,KHW
TỔNG CỘNG TÀI SẢN280,187927116560,531415638761,183690378541,1344918717032,1475380141521,18800160505704,9377380009091,4210442125722,6945179364415,1880037842820,1476348091000,39262398278,7842669672677,358949906542,1587216938485,90240189686,717657586777,77407771894,2504776666933,74556353284,36486740593,2737900791687,1206807055425,8671128833578,203022557192,628391324145,633273349099,523745308626,12631962767060,3988436338167,681244571273,541961203431,2297952570574,207676712195,828102672175,44729924910530,120307952874,34535453262,13479535412641,30757719910000,78244717586,1036331160628,61129557553,6591186384699,2260411630729,493916622698,613972057512
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. NỢ PHẢI TRẢ300,102641462685,251073692023,133672951308,934472166048,819159961178,11592512353814,5885146928116,2113176799451,3521866675638,1005389564436,256912392000,15118342750,2691233904883,154425090061,1012098889230,32237448912,367652071419,33345075793,321657498333,15614436816,13521105804,2795447663374,485826911536,4172504903234,14757163696,827888279489,37776123420,286249605778,1946725297576,1665747882458,272319509736,209426299239,2011390008248,522094866684,288421043975,24085018776979,22094492568,4218623899,6214369166620,11304286326000,947761485,771229517139,19029642730,1371352118388,1557081691110,269573124587,217156670772
I. Nợ ngắn hạn310,43732795171,228317696223,133672951308,321799940517,813702838897,4533347675294,4734278435590,2024733139514,2854277223526,161642549421,253525185000,15118342750,2089227766583,113474348755,474959333724,24151856515,218522270515,33345075793,321657498333,13614436816,13521105804,92281628519,484546911536,468893079267,14757163696,671673279489,37776123420,183281369557,1271380785122,1306313638541,262641427532,209426299239,2011278858248,522094866684,288286032550,7092665737443,22089492568,4218623899,4581960775253,4182246202000,947761485,769379417139,17513783767,780420118388,873345127398,250273124587,95997531397
1. Phải trả người bán ngắn hạn311,12929155634,439625918,97484109564,9464071956,402157212135,301583391292,206744965778,384058834358,935249317391,2967831373,147780016000,8432562161,696679853380,26612520040,225091028571,1450621417,19900952912,8093431023,77043981904,330183920,3778889021,3825227319,130788662141,5289500829,1291526522,20846158417,157019656,57011042241,150938290892,121491942557,46054889853,88633845925,472251910283,48267776487,87795950428,529481109109,4602612308,1590979119,691553402581,288309210000,,19218399630,59216800,22120418259,465155443553,37206093731,11009985207
2. Người mua trả tiền trước ngắn hạn312,1076499310,,15177802676,198340642787,30354005938,307062074693,135853818947,1297224629637,72690700486,,12353950000,749462524,10808976400,27687520092,,3395207257,31191438,10480751900,17287545370,,2716358506,,333423850,1630433731,,4706996462,,34773417,194980584475,236477686257,20399435892,30000000,345118384459,682217281,11674486600,757523177558,,233332736,42864712255,1901227417000,626665000,6912098944,265354500,274909091,19223406187,9338197867,1836810000
3. Thuế và các khoản phải nộp Nhà nước313,237327772,557579140,927100787,42755930824,13412213374,505747844552,35708638380,38156019868,32607726812,4522597123,15067712000,141375490,28374546566,916541535,13084279861,878661502,797664746,1268771996,35978932361,1795220097,1242683340,33934675,21335009691,51232868730,3107109993,37624614723,11162634947,4746450555,28698729073,44225964117,14895361391,384000,8203422827,245544255,25439864101,210231024005,9814086845,417207410,58552056329,277484988000,321096485,7325080790,4760552678,16411133901,4606046403,327477727,12950593284
4. Phải trả người lao động314,2842040352,480386364,362545592,594152795,21083923854,45041566746,19310776635,2020291678,110438600929,4504766293,10622213000,965037131,9727065901,478299809,17901805094,16082958948,5833054300,2494152649,272812463,5710846676,941000000,486300000,140025074585,10464978106,7358328348,8454723397,1201000000,26050567895,1618527981,14984237366,19510350449,449000000,2492951753,3438404777,6896320667,228123345,3182620530,998978035,21826311666,,,10603939062,1184498888,10565848186,83564531295,10221667553,20813903056
5. Chi phí phải trả ngắn hạn315,,,1718552634,8196630935,39489067583,844642956129,19400802762,2207091500,240026833269,75698751550,65313979000,151300904,282529571822,562827216,30822739579,,10548134266,,30892527024,4938314317,81150000,,905689278,138899075216,123052943,1836640102,758800349,53008851731,677448985504,197402333418,6135561159,109280391,45273866881,,9130658468,2205794271910,30000000,17733796,369491600535,182624748000,,19989653148,253207204,34134056580,34677832752,3570006899,4658075983
6. Phải trả nội bộ ngắn hạn316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn318,,220886363,,18079544046,7851015856,1144345071562,,,,37042814242,,,60740990,,3596545728,,172800000,,,,,,,11894919878,97928463,,,814320000,10115784075,33497667,31500000,,60000000,,,5346030681,,,4951018938,,,,,,2803623658,,
9. Phải trả ngắn hạn khác319,5566561535,224834927736,17840460377,42205696885,42512913037,203883839481,29232760138,208997028597,15189341235,3581930301,2387315000,1030955568,350137871332,56766011,116008074322,2308475795,125092390329,396375813,33588027874,8505960,4590397587,71625124883,7390661962,92796487599,69290000,565921321492,5474213879,14401249689,148840628034,227332212622,3914833364,147919601,55250105868,229008329061,1561608918,3005527869435,1411322743,941289365,77989074765,379476348000,,614028500,265700520,254356045867,5059623900,107076050,6764221151
10. Vay và nợ thuê tài chính ngắn hạn320,16178245020,,,,252585117949,1143722863604,4268828358699,91385700000,1446394736974,21080000000,,3501571252,646866826138,57159874052,53855629606,35300000,56013149077,10495486908,86121678048,,,11770196859,121987746402,112259032849,,25020000000,16377869172,21292000000,58661085088,444622277048,143990891499,119749214465,1081292391937,239991414920,140828584046,371484360597,,,3188120075305,1100000000000,,690222039497,,442557706504,234344950044,180942092749,31313324932
11. Dự phòng phải trả ngắn hạn321,,,,,1008542097,2186940523,,,,,,,,,,,,,,,,,29789880545,,,,2186940523,66355000,,333613954,2933247111,,,,4958559322,,,,,,,12471000000,10690891827,,,,
12. Quỹ khen thưởng phúc lợi322,4902965548,1784290702,162379678,2163270289,3248827074,35131126712,19198314251,683543876,1679966430,12243858539,,146077720,64042314054,,14599230963,631596,132933447,116105504,40471993289,831365846,170627350,4540844783,31990763082,44425782329,2709927427,7262824896,457644894,5855759029,78170000,19409873535,4775356814,306654857,1335824240,461179903,,7049770803,3048850142,19103438,126612522879,53123491000,,2023177568,34361350,,23909669606,8560512011,6650617784
13. Quỹ bình ổn giá323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Nợ dài hạn 330,58908667514,22755995800,,612672225531,5457122281,7059164678520,1150868492526,88443659937,667589452112,843747015015,3387207000,,602006138300,40950741306,537139555506,8085592397,149129800904,,,2000000000,,2703166034855,1280000000,3703611823967,,156215000000,,102968236221,675344512454,359434243917,9678082204,,111150000,,135011425,16992353039536,5000000,,1632408391367,7122040124000,,1850100000,1515858963,590932000000,683736563712,19300000000,121159139375
1. Phải trả người bán dài hạn331,,,,,,,,,,,,,18838742400,,,,4669700760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước dài hạn332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138185879569,,,,,,,,,,,,,,,,,
3. Chi phí phải trả dài hạn333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589879723,,,,4642067000,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn336,,,,612322225531,,4599772152061,,,,780114770265,,,11904073192,,118373417561,,,,,,,,,,,,,,,5462272538,,,,,,35877018134,,,6360999217,34609526000,,,,,,,
7. Phải trả dài hạn khác337,46813001514,705995800,,350000000,286000000,22741467904,,11279631883,,3507517506,,,24482362708,,243947758010,,143220462125,,,2000000000,,164285135126,1280000000,4011000000,,,,90168434066,516905199574,24732461914,285464000,,,,,6079254094359,5000000,,52349526642,449265711000,,,,475000000,48434402623,,9932332308
8. Vay và nợ thuê tài chính dài hạn338,12095666000,22050000000,,,,1992308669770,1150868492526,73609400000,667589452112,60113384660,,,546780960000,19401719681,174313251667,6841456552,1239638019,,,,,2538880899729,,3661774340209,,156215000000,,11553438302,62920634248,185490695000,,,111150000,,,9741096426831,,,872796180110,5998206256000,,1850100000,,590457000000,633323161089,19300000000,105821794659
9. Trái phiếu chuyển đổi339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Cổ phiếu ưu đãi (Nợ)340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả341,,,,,,55542627217,,3554628054,,11342584,,,,21549021625,,1244135845,,,,,,,,37826483758,,,,,94496474520,4288672987,3799800000,,,,135011425,1134583652527,,,673715984404,633569498000,,,,,,,
12. Dự phòng phải trả dài hạn342,,,,,5171122281,388799761568,,,,,3387207000,,,,505128268,,,,,,,,,,,,,1246363853,1022204112,1274261909,5592818204,,,,,951967962,,,27185700994,1747066000,,,1515858963,,,,
13. Quỹ phát triển khoa học và công nghệ343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979000000,,5405012408
14. Dự phòng trợ cấp mất việc làm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. VỐN CHỦ SỞ HỮU400,85285653875,280341946738,50017427233,410446550984,656220180343,7207648151890,3492233080975,2097265326271,3423312688777,874648278384,1219435699000,24144055528,5151435767794,204524816481,575118049255,58002740774,350005515358,44062696101,2183119168600,58941916468,22965634789,-57546871687,720980143889,4498623930344,188265393496,-199496955344,595497225679,237495702848,10687387469484,2322688455709,408925061537,332534904192,286562562326,-314418154489,539681628200,20644906133551,98213460306,30316829363,7265166246021,19453433584000,77296956101,265101643489,42099914823,5219834266311,703329939619,224343498111,396815386740
I. Vốn chủ sở hữu410,85285653875,280341946738,50017427233,410446550984,656220180343,7207648151890,3481969695875,2097265326271,3423312688777,874648278384,1219435699000,24144055528,5151435767794,204524816481,575118049255,58002740774,350005515358,44062696101,2183119168600,58941916468,22965634789,-57546871687,720980143889,4498623930344,188265393496,-199496955344,595497225679,237495702848,10687387469484,2322688455709,408925061537,332534904192,286562562326,-314418154489,539681628200,20644906133551,92783605103,30316829363,7265166246021,19453433584000,77296956101,265101643489,42099914823,5219834266311,703329939619,224343498111,396815386740
1. Vốn góp của chủ sở hữu411,128070000000,200000000000,40000000000,203999600000,321850000000,3299999290000,2731726680000,1734901930000,618044720000,358583850000,871409840000,21419280000,3777483840000,196414310000,245022450000,61003910000,360000000000,35999480000,1540427620000,12000000000,20000000000,208097020000,180000000000,2138357750000,175000000000,88000000000,450000000000,150084920000,9384636070000,963754090000,245335910000,318433050000,264599240000,153227230000,1125001710000,7676047590000,80000000000,15000000000,2898063160000,10111425650000,75969810000,254300000000,32628180000,4494352050000,604059670000,120909690000,285999960000
- Cổ phiếu phổ thông có quyền biểu quyết411a,128070000000,200000000000,40000000000,203999600000,321850000000,3299999290000,2731726680000,1734901930000,618044720000,358583850000,871409840000,21419280000,3777483840000,196414310000,245022450000,61003910000,360000000000,35999480000,1540427620000,12000000000,20000000000,208097020000,180000000000,2138357750000,175000000000,88000000000,450000000000,150084920000,9384636070000,963754090000,245335910000,318433050000,264599240000,153227230000,1125001710000,7676047590000,80000000000,15000000000,2898063160000,10111425650000,75969810000,254300000000,32628180000,4494352050000,604059670000,120909690000,285999960000
- Cổ phiếu ưu đãi411b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Thặng dư vốn cổ phần412,24156097000,22123458400,758266000,290000,2512000000,44477461497,17060700000,1523000000,849979583600,-11000000,85035704000,,211326226000,,,47158330000,,,187323437904,,248050000,37001610500,,,,,,,307376827511,748683126824,,6422192528,,97954499200,402288328850,2743529570000,,,2292253519262,3313574244000,,,,13054455000,-470673364,2183241500,852875935
3. Quyền chọn chuyển đổi trái phiếu413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Vốn khác của chủ sở hữu414,,,,,,122676882784,246687400000,,,,,,10801285907,,,,,,2420789142,,,,,32049837180,,,,,,3827530297,4100100000,,,1502542138,,3324832200000,,,,,,,,,9443636522,,
5. Cổ phiếu quỹ (*)415,,-22127942200,,,,,,,,,,,,,,-685057621,,,-358600000,,,,-440000000,,,,,,-3673910000,-9825117611,-721880000,,,-2715320000,,,,,,,,,,,-218146117,,
6. Chênh lệch đánh giá lại tài sản416,,,,,,-43500578195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Chênh lệch tỷ giá hối đoái417,,,,,,,,,-14130522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Quỹ đầu tư phát triển418,21221178468,40009766120,3227330000,,96915896964,714448874011,76041216796,,5150000000,78949441652,,2783648525,712480326882,,189315113795,,,6153717823,132498528472,10556212030,,14336204255,426547156313,64268503228,,5023377797,,52565109263,9040161210,103385054165,,6076492522,14928178127,6912103414,19211235252,2223693823,6082792474,12525124212,69858995990,351865559000,,5460090397,,,1130697119,40696071563,22719748493
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,,,,,,11111130157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,,,,,,11111130157,,,,90034048000,520378354,,,,10200000,,,,3929921081,,,,635671910,,,,,,,,,,,,,779600000,,16135952841,,,,,,,,
11. Lợi nhuận sau thuế chưa phân phối421,-88161621593,39727406041,6031831233,206446660984,234942283379,1477723999737,201971424074,324957334253,1950075452659,432977719294,172956107000,-579251351,439344089005,3423357770,108538897704,-49853704951,-60499584409,1909498278,320807393082,32455783357,2717584789,-316981706442,114872987576,1908444893087,13265393496,-292520333141,145497225679,34845673585,681938461981,363440919206,53345030588,1603169142,5251036710,-571299209241,-1007069805417,4811255659305,5921212629,2791705151,1345555006014,3617810462000,1327146101,5341553092,9469549096,712427761311,89384755459,53159953046,87242802312
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,-88440254738,38371643839,5495171892,4669168441,203838025963,141668742080,141509895532,229352611497,1074772755281,319491247247,30657000,2089749389,75894215358,5514570804,,-59156499842,-74559219826,-5392643457,,22328805851,2430376062,-281070416023,,1496990666796,17903797,-817929966576,69303727790,,568121583168,288947942809,8681601627,555021497,1562846308,-531784114457,-1047352036211,4429331543041,283583238,,1308244343168,2807396908000,30417272,107684290,3850020610,657801507287,31626754875,27488193137,
- LNST chưa phân phối kỳ này421b,278633145,1355762202,536659341,201777492543,31104257416,1336055257657,60461528542,95604722756,875302697378,113486472047,172925450000,-2669000740,363449873647,-2091213034,108538897704,9302794891,14059635417,7302141735,320807393082,10126977506,287208727,-35911290419,114872987576,411454226291,13247489699,525409633435,76193497889,34845673585,113816878813,74492976397,44663428961,1048147645,3688190402,-39515094784,40282230794,381924116264,5637629391,2791705151,37310662846,810413554000,1296728829,5233868802,5619528486,54626254024,57758000584,25671759909,87242802312
12. Nguồn vốn đầu tư XDCB422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13. Lợi ích cổ đông không kiểm soát429,,609258377,,,,1591822222056,186260014691,35883062018,77063040,4148267438,,,,4687148711,32241587756,369063346,50505099767,,,,,,,354867274939,,,,,308069858782,149422852828,106865900949,,1784107489,,250159515,2087017420423,,,643299611914,2058757669000,,,2185727,,,7394542002,
14. Quỹ dự phòng tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Nguồn kinh phí và quỹ khác430,,,,,,,10263385100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5429855203,,,,,,,,,,
1. Nguồn kinh phí431,,,,,,,10263385100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5429855203,,,,,,,,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG NGUỒN VỐN440,187927116560,531415638761,183690378541,1344918717032,1475380141521,18800160505704,9377380009091,4210442125722,6945179364415,1880037842820,1476348091000,39262398278,7842669672677,358949906542,1587216938485,90240189686,717657586777,77407771894,2504776666933,74556353284,36486740593,2737900791687,1206807055425,8671128833578,203022557192,628391324145,633273349099,523745308626,12634112767060,3988436338167,681244571273,541961203431,2297952570574,207676712195,828102672175,44729924910530,120307952874,34535453262,13479535412641,30757719910000,78244717586,1036331160628,61129557553,6591186384699,2260411630729,493916622698,613972057512
KẾT QUẢ KINH DOANHMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,45439820007,13209223017,113410102475,622811727724,1572511299308,8846468727140,7142101147514,717532138019,7774453292729,130939549954,2111867485000,93090382756,1026332766569,140157852448,496165109794,143569588748,185383670650,117461442483,2512786046784,71448610988,21520326885,,1767765246504,560331817604,25147448508,383813800179,198338997510,455409981350,510007036028,572806132538,751859331221,555568933214,1954930511475,38607393291,611676440253,2775773466955,122638506902,47589660623,8591293063411,3295129859000,35660063272,7403990025919,32973057500,309842135613,7118614609836,663286490188,436069641186
2. Các khoản giảm trừ doanh thu02,,,,,,58216914,5327753884,,116302989201,,138711899000,65056643,6073906698,770319105,,,,,307666108371,,,,673454406,277196874,,,,,134157657627,62764180,412500,175333523,,,135980952,,,,267478818816,16545653000,,1009800000,,,,5758209036,23487617
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,45439820007,13209223017,113410102475,622811727724,1572511299308,8846410510226,7136773393630,717532138019,7658150303528,130939549954,1973155586000,93025326113,1020258859871,139387533343,496165109794,143569588748,185383670650,117461442483,2205119938413,71448610988,21520326885,,1767091792098,560054620730,25147448508,383813800179,198338997510,455409981350,375849378401,572743368358,751858918721,555393599691,1954930511475,38607393291,611540459301,2775773466955,122638506902,47589660623,8323814244595,3278584206000,35660063272,7402980225919,32973057500,309842135613,7118614609836,657528281152,436046153569
4. Giá vốn hàng bán 11,34459983385,6580780715,108589947408,299750479654,1444342644025,5509150910457,6577973020867,466325773201,4533184733920,44671554661,1296489118000,82896636987,561893443009,126355337329,305905140995,129813647299,155413868615,94725639702,1349562785723,47685276137,16283891480,,1452948570545,280748813885,25581671789,443014660629,91785166251,325655795746,169360580661,380499614852,557289279379,528058139221,1886939657299,43749795785,463968739756,1492307333029,75399670242,34731843554,6811714762181,1539036889000,34326184249,6773860280371,14529895959,264434263115,6860688231766,579547884517,327336368266
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,10979836622,6628442302,4820155067,323061248070,128168655283,3337259599769,558800372763,251206364818,3124965569608,86267995293,676666468000,10128689126,458365416862,13032196014,190259968799,13755941449,29969802035,22735802781,855557152690,23763334851,5236435405,,314143221553,279305806845,-434223281,-59200860450,106553831259,129754185604,206488797740,192243753506,194569639342,27335460470,67990854176,-5142402494,147571719545,1283466133926,47238836660,12857817069,1512099482414,1739547317000,1333879023,629119945548,18443161541,45407872498,257926378070,77980396635,108709785303
6. Doanh thu hoạt động tài chính21,256910055,1524830371,955384292,21064173837,24844261981,168019715116,179226869860,6041389594,176459611994,35575724961,22391921000,179651457,4232101866,1847758176,12494641569,3753088288,18994440222,2118337035,13318220218,816417729,18671327,19552839954,8192513388,458658911672,5809404200,17454443052,972608964,4398843442,2950138951,4030452207,4849299426,3122959858,60980878047,740740667,27677414340,451291295434,1364970597,247668856,163162069678,38189200000,2032148067,51122962796,343944497,252527065396,21423097746,2331801775,4620229612
7. Chi phí tài chính 22,1740389515,1907657261,653719033,7455295565,22042833817,136128794388,360382540923,33605704423,62449895057,1753112044,486756000,32905740,54754111349,7031998380,23550266542,495788900,6004879907,629451618,25191684060,,19721113,50478323304,2181630533,418170026569,265640792,10610042992,847790218,2382809265,-15128291305,77035573985,7284101575,9272179089,89850574171,29620298052,6261510071,258842346281,12130137,,135565323019,216021728000,95730772,97339539203,,133834374116,61442481227,17390959365,4004994014
Trong đó :Chi phí lãi vay23,1101681310,1907657261,293719033,2493365165,12018315906,130327583405,309079691970,15629130065,42773856549,1067712678,,32905740,45352507564,7031998380,20128061437,,3931227285,350361284,3489360216,,19721113,31004706866,1899818422,372789770996,,10464350466,845930091,2379674332,-14835155367,76936267364,4075126518,6412696948,85422597607,24771983216,5437218352,268641265779,12130137,,130737823797,,129886196,60402468567,,120136402415,59769183440,12992528337,4004994014
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,3296023,,,,1883218382,,53264387,,38926319043,,,121669299256,,,,1135754882,,,,,,,280680521865,,,,,,-708963460,-578555394,,216827678,,,15912953359,,,150352150144,,,,,,,,
9. Chi phí bán hàng25,3065946299,,,15190550041,54814320072,122640065753,188796031578,108891561004,1884222635814,765863005,427288941000,2863887249,32713104498,732007330,4174983659,,,3177036796,312128895184,,,,58556888671,13802534256,58466000,12877365683,,3451241074,392138080,8940598914,46755196795,8814800604,3809070893,1050770089,62073875028,98035320545,2338546106,4590469330,1135037734725,222684170000,,501457340414,,53656506562,71834277635,12242063820,450000000
10. Chi phí quản lý doanh nghiệp26,6047541483,11458482988,4569399874,18397497311,51618641577,275142930631,82361733191,26664808414,249674355921,23456233110,47993402000,10146847428,76257259022,8606507187,46789102055,11721328612,24714372577,12967983434,128270026259,12062912697,4386491605,4457622646,127573880051,69612055348,10400003928,19827889640,12881444660,46903435349,81903947491,59826884261,63065623986,11758099252,20504084477,3147296547,48988223987,459863902146,27823003822,5239224667,455799735481,209183836000,1607353349,66375424813,10739566335,32421515923,94047143956,15922222278,11479151113
11. Lợi nhuận thuần từ hoạt động kinh doanh30,382869380,-5209571553,552420452,303082078990,24537121798,2973250742495,106486936931,88138944958,1105078294810,134794831138,223289290000,-2735299834,420542343115,-1490558707,128240258112,5291912225,19380744655,8079667968,403284767405,12516839883,848894014,-35383105996,134023335686,517060624209,-5348929801,-85061715713,93797205345,81415543358,142271142425,49762185093,81735461018,613341383,15024830360,-38220026515,57925524799,933928813747,18430127192,3275791928,99210909011,1129846783000,1662942969,15070603914,8047539703,78022541293,52025572998,34756952947,97395869788
12. Thu nhập khác31,77437499,5696075791,765905440,2177116907,28210435720,31611016484,11500927442,38638016657,5858032722,18988849119,5587980000,66545960,24327581195,119064114,1218249688,6844705416,1245030564,642538339,2386161826,257770867,,510022430,1233667409,5739819319,22106012458,656545348065,581184182,1022257650,3231612724,30105831374,7924560705,539371365,7035897352,17287281,8927990108,49621167844,39708000,387225000,9726955632,41515925000,63847,486253199,656681750,2792247381,25177136587,919376261,5817410349
13. Chi phí khác32,181673734,,530429759,1661654022,15564851996,11595270290,9820852627,5898263576,2532203531,187662731,8256916000,246866,29978778504,439404270,518404542,12074119,2909173818,122628367,1477994676,4031390,50500000,1038206853,55138547,5422033684,66912293,1190922302,,227345305,5579985588,11212880795,660593913,104565103,11718466785,1312355550,7988506018,261023264069,6523432660,82876534,4136712096,120313992000,52167120,298787696,138790910,10692137409,5879147819,18591495480,5230504565
14. Lợi nhuận khác40,-104236235,5696075791,235475681,515462885,12645583724,20015746194,1680074815,32739753081,3325829191,18801186388,-2668936000,66299094,-5651197309,-320340156,699845146,6832631297,-1664143254,519909972,908167150,253739477,-50500000,-528184423,1178528862,317785635,22039100165,655354425763,581184182,794912345,-2348372864,18892950579,7263966792,434806262,-4682569433,-1295068269,939484090,-211402096225,-6483724660,304348466,5590243536,-78798067000,-52103273,187465503,517890840,-7899890028,19297988768,-17672119219,586905784
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế50,278633145,486504238,787896133,303597541875,37182705522,2993266488689,108167011746,120878698039,1108404124001,153596017526,220620354000,-2669000740,414891145806,-1810898863,128940103258,12124543522,17716601401,8599577940,404192934555,12770579360,798394014,-35911290419,135201864548,517378409844,16690170364,570292710050,94378389527,82210455703,139922769561,68655135672,88999427810,1048147645,10342260927,-39515094784,58865008889,722526717522,11946402532,3580140394,104801152547,1051048716000,1610839696,15258069417,8565430543,70122651265,71323561766,17084833728,97982775572
16. Chi phí thuế TNDN hiện hành51,,209472254,249006506,63444043519,6078448106,639981783431,35490543846,25268559534,204095490970,19413925262,49523901000,,60753252321,167177630,25735408816,2417866212,1300902458,1297436205,83330541473,2972822808,511185287,,21211403999,47296000850,3462266358,39479753332,18741691787,16696330326,27814042197,31668352794,13655887719,,6650401706,,20628655090,295380490601,6308773141,788435243,69586806709,273095939000,314110867,10024200615,3029852142,15496397241,13565561182,,10739973260
17. Chi phí thuế TNDN hoãn lại52,,,,-2423914187,,-39068820814,,15837169,29006872613,22972544,-1828997000,,,87043022,6666823,63566892,-60951106,,,-329220954,,,,-40171874,-19585693,,-556800149,,-3369955389,4431941269,516063587,,88371401,,-2099742262,4112797786,,,-31662698378,-25686280000,,,-84968990,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,278633145,277031984,538889627,242577412543,31104257416,2392353526072,72676467900,95594301336,875301760418,134159119720,172925450000,-2669000740,354137893485,-2065119515,103198027619,9643110418,16476650049,7302141735,320862393082,10126977506,287208727,-35911290419,113990460549,470122580868,13247489699,530812956718,76193497889,65514125377,115478682753,32554841609,74827476504,1048147645,3603487820,-39515094784,40336096061,423033429135,5637629391,2791705151,66877044216,803639057000,1296728829,5233868802,5620547391,54626254024,57758000584,17084833728,87242802312
Lợi ích của cổ đông thiểu số,,9069782,,,,396298410415,12214939358,-10421420,-936960,645623195,,,,26093519,5820198833,49606899,2417014632,,,,,,,58668354577,,,,,1661803940,-361154862,28351292657,,-84702582,,53865267,41109312871,,,29566381370,-6774497000,,,1018905,,,-8586926181,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,278633145,267962202,538889627,242577412543,31104257416,1996055115657,60461528542,95604722756,875302697378,133513496525,172925450000,-2669000740,354137893485,-2091213034,97377828786,9593503519,14059635417,7302141735,320862393082,10126977506,287208727,-35911290419,113990460549,411454226291,13247489699,530812956718,76193497889,65514125377,113816878813,32915996471,46476183847,1048147645,3688190402,-39515094784,40282230794,381924116264,5637629391,2791705151,37310662846,810413554000,1296728829,5233868802,5619528486,54626254024,57758000584,25671759909,87242802312
19. Lãi cơ bản trên cổ phiếu,22,15,135,11891,966,5976,248,551,14183,3463,1984,-1246,931,-106,3294,1578,388,2028,1932,6752,144,-1726,6031,1924,757,59706,1659,3487,121,335,1820,33,139,-2627,359,498,705,1861,139,800,171,206,1723,122,957,1953,3050
20. Lãi suy giảm trên cổ phiếu71,22,15,,11891,,5976,248,551,14183,,,,931,-106,3294,1578,,,,6752,144,-1726,6031,1924,,59706,1659,3487,121,335,,33,139,,,498,,1861,139,800,171,,1723,,957,1953,3050
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
