Mã CK,DVW,DWC,DWS,DXG,DXL,DXP,DXS,DXV,DZM,E12,E29,EBS,ECI,ECO,EFI,EIC,EID,EIN,ELC,EME,EMS,EPC,EPH,EVE,EVG,FBC,FCC,FCM,FCN,FCS,FDC,FGL,FHN,FHS,FIC,FID,FIR,FIT,FMC,FOC,FOX,FPT,FRC
4. Phải trả người lao động314,3312954754,8716126994,44785908497,98901245575,141979235,2183937979,87023966200,3424365022,619592144,1494750375,4054078377,3234247157,334311404,951000000,351609842,1521889000,52878361660,2878113384,7122094916,191123872,78217674939,393912841,3598072938,21735914151,1357007540,71579735333,405700400,4176202544,39297988998,,,1056523008,4857765600,73217355630,24114712832,,1002871814,37438812333,96886554979,48556926000,1497091745800,4341013546853,10026817829
5. Chi phí phải trả ngắn hạn315,566015305,2764862657,8842247538,556913028541,,5074874671,409179419819,384982423,67576452,3856426476,,1568506225,830087830,123266855,,18044916,68717620562,12937889993,5862619033,3654124041,44715124672,1032134696,,1921422779,11325209490,1579084418,,4026838840,359497220236,25391605186,4674342819,22920597047,,34355455,14960287163,63721661981,16953695090,35324155679,114814455639,6466130000,345801018557,1241089122260,405796012
6. Phải trả nội bộ ngắn hạn316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92738882375,
8. Doanh thu chưa thực hiện ngắn hạn318,,,,75524956006,217575758,,75520490466,169827275,,,635721451,,,,,,167672702,,1669579388,,345864217,,,,,,,,,1020000000,31076044560,27965057,579782534,,,,888840000,116562537,,,1745702838876,4224649366399,
9. Phải trả ngắn hạn khác319,742071232,13366641279,5762370646,3922979589809,82852471,503245070,2889456888859,1548598628,2809300291,2480424302,4335886708,5741693956,1642698983,448417907,507238709,29254008490,520746307,599435570720,4350534501,1837740412,35852733132,174368230,60653362,1997167120,15546283,13912542732,2486647171,611455630,128039418675,34414210977,2620643433,3060061949,25197019895,5151232937,37430145960,1024928714,26456466386,79643680908,595781242,2603783636,279814774431,874015837328,6158763996
10. Vay và nợ thuê tài chính ngắn hạn320,1875000000,49007602982,32009925451,3230367385594,,92509236135,1834434542987,,23905530225,43242588308,53404721084,2327628000,499546392,56144193756,,,19279648629,96132456167,36072675525,39514040511,,22669220000,,144565350845,126990000000,,,,2380916619819,900000000,17582560825,25954599400,7000000000,,829918633950,36921769000,297041541132,990095796598,901581043308,,6540635801900,14446238451323,51826424366
11. Dự phòng phải trả ngắn hạn321,,,,,,,,,186124400,,,,,,,,,,1635651757,,,,,,,1414662775,,,,,,,,,,,,,,,,496600145127,7569893504
12. Quỹ khen thưởng phúc lợi322,4009749871,3660109144,457317653,203439497156,373949591,977896684,150962185763,3607270,477669912,269784100,2898697549,273052411,190103624,,,789169143,24676694761,208941590,5161402408,956012690,70395343049,857388383,638222898,,9072502672,58023966111,391119,3955077644,8611393032,2600000,1582677220,,2033537901,28207763495,21683532237,,,11959794893,45932419234,39149450619,500252954584,1835037318363,21636207
13. Quỹ bình ổn giá323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu chính phủ324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Nợ dài hạn 330,241116844,352013871646,581943974342,3514784682060,,50000000,439025873084,,,,183942000,9158933852,2331216494,4822002701,,40490000,1296678700,71520428113,90444268556,22385110055,285771956,,,103053783261,1004611150826,7538030231,,287000000,1529341644570,567983355000,310774613290,22750074357,6302369105,569532231,67661194765,,87757644588,440636800995,11745817250,937686214,121777560918,1436271506080,524182667
1. Phải trả người bán dài hạn331,84866844,,,,,,,,,,,,,,,,,,,,,,,,,,,,14053977693,,,,,,,,,,,,,,
2. Người mua trả tiền trước dài hạn332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Chi phí phải trả dài hạn333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn336,,,,,,,,,,,,,,,,,,,,,,,,,,7538030231,,,4601779566,,,491886357,,,,,7362558000,,,,34891471164,131344534204,
7. Phải trả dài hạn khác337,,1755799343,484379354154,2832389000,,50000000,210000000,,,,183942000,46000000,,,,40490000,1296678700,,7579247973,21147610055,285771956,,,22236301034,,,,287000000,,567983355000,147652119860,,1242369105,317437604,49638014561,,,8906974601,885000000,,1681834640,183788442785,
8. Vay và nợ thuê tài chính dài hạn338,156250000,350258072303,77266178770,3325421884628,,,377960774216,,,,,9111085000,2331216494,4822002701,,,,71520428113,,1237500000,,,,80817482227,1004607237463,,,,1510667103323,,92000000000,22258188000,5060000000,,153999991,,80153563737,403148637153,,,81784329565,501115537075,
9. Trái phiếu chuyển đổi339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Cổ phiếu ưu đãi (Nợ)340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả341,,,,186530408432,,,60855098868,,,,,1848852,,,,,,,64483485315,,,,,,3913363,,,,18783988,,,,,252094627,11546876083,,241522851,28581189241,,937686214,3419925549,356966680614,
12. Dự phòng phải trả dài hạn342,,,748800000,,,,,,,,,,,,,,,,18381535268,,,,,,,,,,,,71122493430,,,,6322304130,,,,10860817250,,,262864215119,524182667
13. Quỹ phát triển khoa học và công nghệ343,,,19549641418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192096283,
14. Dự phòng trợ cấp mất việc làm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. VỐN CHỦ SỞ HỮU400,54754919004,362685366932,369698724530,15202281281177,41301592887,862064024874,8316412827479,96764522821,-7508448648,11787054612,55863566254,149393874173,34168909417,224397799741,68660644336,390915995833,460509202651,371200791058,1248683105675,80591800223,316154023378,39273412252,40958119760,948498494718,2812691336629,116183275942,13214026415,535035968675,3368024238639,60810009981,450742905452,21734626556,103978829623,221828200176,1550928461439,255433507709,742032934929,5940875048404,2465903411968,813653770162,10646264236508,35727540104800,162672230655
I. Vốn chủ sở hữu410,54754919004,362685366932,369698724530,15202281281177,41301592887,862064024874,8316412827479,96764522821,-7508448648,11787054612,55863566254,149393874173,34168909417,224397799741,68660644336,390915995833,460509202651,371200791058,1248683105675,80591800223,316154023378,39273412252,40958119760,948498494718,2812691336629,116183275942,13214026415,535035968675,3368024238639,60810009981,450742905452,20753274342,103978829623,221828200176,1550928461439,255433507709,742032934929,5940875048404,2465903411968,813653770162,10646264236508,35724790104800,162672230655
1. Vốn góp của chủ sở hữu411,23450000000,315200000000,259181300000,7224509210000,39579000000,599101330000,5791031240000,99000000000,57959850000,12000000000,50000000000,102194840000,18600000000,200000000000,108800000000,366771450000,150000000000,454071610000,832900770000,37802980000,209994400000,93885000000,25000000000,419797730000,2152498360000,37000000000,59970400000,462266260000,1574390050000,255138000000,386299880000,146763000000,30000000000,127514620000,1270000000000,247159580000,642452810000,3399330340000,653888890000,184712750000,4925091640000,14710691830000,30000000000
- Cổ phiếu phổ thông có quyền biểu quyết411a,23450000000,315200000000,259181300000,7224509210000,39579000000,599101330000,5791031240000,99000000000,57959850000,12000000000,50000000000,102194840000,18600000000,200000000000,108800000000,366771450000,150000000000,454071610000,832900770000,37802980000,209994400000,93885000000,25000000000,419797730000,2152498360000,37000000000,59970400000,462266260000,1574390050000,255138000000,386299880000,146763000000,30000000000,127514620000,1270000000000,247159580000,642452810000,3399330340000,653888890000,184712750000,4925091640000,14710691830000,30000000000
- Cổ phiếu ưu đãi411b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Thặng dư vốn cổ phần412,31510500,,,283153338806,,1123771566,4503548710,,16090726000,,,669277482,,,31454653077,,1934655948,1000000000,,,,,-110000000,184195877847,-706800000,,8556300000,-1873645455,517556564217,,251697570000,,,,,-149090909,67328240000,74895139513,593681126002,36208703645,,49713213411,
3. Quyền chọn chuyển đổi trái phiếu413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Vốn khác của chủ sở hữu414,,,,1360256242131,,,24503464043,725357511,,,,,,,,,,,,1387013966,,,,,,,,,10039280000,,,,,,22161000000,,,80481887391,,,55391600000,1929012703454,
5. Cổ phiếu quỹ (*)415,,,,-2500560000,,,,,,,,-2116606556,-726105307,,,,,,,,,,,,,,,,,,-90621050,,,,,,,,,-721035000,,,
6. Chênh lệch đánh giá lại tài sản416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-201803855880,,,,,,,,
7. Chênh lệch tỷ giá hối đoái417,,,,,,,,,,,,,,,,,,,,,,,,-3728916371,,,,,,,,,,,,,,,,,,-49485560860,
8. Quỹ đầu tư phát triển418,14227990111,,61081964534,114428847040,2590124234,168189656117,6193919585,16866716874,8808263977,1525591850,461000000,14077139891,2633994225,,5326196908,,187387060155,2773035995,10410255576,11449952694,40533429495,,9357619614,,41861005344,3512124618,933364760,40630016668,348553075419,,,,18020445551,39303657061,34253808214,,,1160957903,,,2122083824808,2033289141535,6755878435
9. Quỹ hỗ trợ sắp xếp doanh nghiệp419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu420,,,,,,,,,,,,,741277519,,,,33897303867,,5200000000,,,,,4593921095,,,,,232406012,,,,,,,,,,,,,87730484825,
11. Lợi nhuận sau thuế chưa phân phối421,17045418393,47485366932,49435459996,1487270873697,-867531347,93649267191,186039773235,-19827551564,-90367288625,-1738537238,5402566254,21844244990,9416865596,24399036425,-76920205649,24144545833,85166313313,-86643854937,208630508357,29951853563,65626193883,-54611587748,6710500146,331476711882,70688730225,75671151324,-56246038345,33994328981,56538789870,-194327990019,-187163923498,-126009725658,55958384072,51538889049,431722741723,-22216022149,32153011200,278532985676,920130829923,593453351517,3189864568073,11030528671431,125916352220
- LNST chưa phân phối lũy kế đến cuối kỳ trước421a,7057864581,-3477877468,,1231335871892,-91887855,39866187984,45368923478,-14166200453,-91112107750,-1796427419,,9722747243,9893409713,10291609910,-78502014529,21344178886,30260880763,-54707920717,119932832498,25146678068,,-49659135961,,361662776799,39279733910,,-60392091601,32454802394,47269780987,-192847946841,-192225970981,-105534672863,53738307854,1894097930,348281293496,-26573102762,31541786346,159269404327,614430317509,473908120532,1081485817354,5458228109134,110953268313
- LNST chưa phân phối kỳ này421b,9987553812,50963244400,49435459996,255935001805,-775643492,53783079207,140670849757,-5661351111,744819125,57890181,5402566254,12121497747,-476544117,14107426515,1581808880,2800366947,54905432550,-31935934220,88697675859,4805175495,65626193883,-4952451787,6710500146,-30186064917,31408996315,75671151324,4146053256,1539526587,9269008883,-1480043178,5062047483,-20475052795,2220076218,49644791119,83441448227,4357080613,611224854,119263581349,305700512414,119545230985,2108378750719,5572300562297,14963083907
12. Nguồn vốn đầu tư XDCB422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13. Lợi ích cổ đông không kiểm soát429,,,,4735163329503,,,2304140881906,,,,,12724978366,3502877384,-1236684,,,2123869368,,191541571742,,,,,12163170265,548350041060,,,19008481,860714073121,,,,,3471034066,-5405232618,30639040767,98873729,2106473737921,298202566043,,353832603627,5933309621004,
14. Quỹ dự phòng tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Nguồn kinh phí và quỹ khác430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981352214,,,,,,,,,,2750000000,
1. Nguồn kinh phí431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981352214,,,,,,,,,,2750000000,
2. Nguồn kinh phí đã hình thành TSCĐ432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG NGUỒN VỐN440,66933851443,804969978159,1065045931731,29183374176075,42538091224,1007102946503,15068518802220,124316673801,59088381800,78655473998,423965633248,196341626917,47874890321,315200845365,69536872887,423791208240,668414975850,1197632054484,1990032262954,243723525133,748773808076,66478143062,63557897489,1284187996713,4858702923298,422630092008,16205232423,631739686153,9706061959679,717715376885,821000271972,115799008731,181495947900,1497011011949,2730966375164,361271893813,1339407645527,7747808012890,3774888902983,979247955307,23768325325642,71999995678620,260404111841
KẾT QUẢ KINH DOANHMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ 01,44432135499,287737905166,488990923551,4795471317826,18139864241,681740913400,2609745694557,182200201728,21391226747,66449464733,1346711673317,99558915276,3437781685,454284628652,,10972911239,1139938529004,40592641745,800145221381,94644618117,1848069710316,37539106823,103628291468,743880737377,1192875784911,1117666841410,8017042195,469074237334,3374697356483,405809818698,28938468889,15774627970,1111341209179,4097329668794,1380301049922,56128696800,123961564779,1984757327393,6920256745568,710620463311,17617660996679,62962652134635,140099328067
2. Các khoản giảm trừ doanh thu02,,87746612,183408460,,,,171858947836,4575008522,,,,369061650,,232173136,,,8294215271,,,,,,49337340,2639048715,173514302,555904572,,,,1520000,,,137937391,3820495398,11121841092,,,31099252252,7633256410,6117335434,7260744042,113857783268,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ10,44432135499,287650158554,488807515091,4795471317826,18139864241,681740913400,2437886746721,177625193206,21391226747,66449464733,1346711673317,99189853626,3437781685,454052455516,,10972911239,1131644313733,40592641745,800145221381,94644618117,1848069710316,37539106823,103578954128,741241688662,1192702270609,1117110936838,8017042195,469074237334,3374697356483,405808298698,28938468889,15774627970,1111203271788,4093509173396,1369179208830,56128696800,123961564779,1953658075141,6912623489158,704503127877,17610400252637,62848794351367,140099328067
4. Giá vốn hàng bán 11,23504679459,121678349990,339198055894,2489822897505,16415850107,600166954228,1259975327160,169588524341,17176902841,60206630658,1302072826380,66977769512,3054510279,424163576406,,9046696219,838613803316,32473935103,555950402751,82822881696,1540024700147,34762674811,64287412429,508146070624,1134017772264,910133255449,3868444961,420429399543,2933955135880,338684010011,8616743279,9246701114,1061214245673,3049083912707,1181403032508,54733308448,48152877545,1560804580933,6160943040573,385211844156,9294623536001,39150445981451,114265731640
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ20,20927456040,165971808564,149609459197,2305648420321,1724014134,81573959172,1177911419561,8036668865,4214323906,6242834075,44638846937,32212084114,383271406,29888879110,,1926215020,293030510417,8118706642,244194818630,11821736421,308045010169,2776432012,39291541699,233095618038,58684498345,206977681389,4148597234,48644837791,440742220603,67124288687,20321725610,6527926856,49989026115,1044425260689,187776176322,1395388352,75808687234,392853494208,751680448585,319291283721,8315776716636,23698348369916,25833596427
6. Doanh thu hoạt động tài chính21,1350580326,278794302,751930553,47770698279,1019812195,16050112114,31380199206,1241665190,54385903,333663482,489720230,7721149915,1217794467,8653615971,252715361,68031365045,19702697813,483137,24383142515,4881206164,5464734467,1395605,86896713,27902860012,22972777892,8583606248,307223562,1585323760,85714482521,24399529,672696764,116502339,225391688,28140293675,20280147915,175594,42835381,249647745886,112137556837,36986218212,659223846745,1935749115305,9664877175
7. Chi phí tài chính 22,209821000,44966065221,6686943596,470094545225,,6579803456,102609363505,,210333151,2971405197,3277091862,2730619287,280921175,7572232924,92795504,8812608684,8794970978,12815710262,13029480489,2585232254,1092338912,1760647650,,16234798414,17005368099,2406130191,,21338479039,232156139621,16041888,3275998081,6619634400,1124673205,268377082,36666606464,5235442465,47034186535,55098285958,53243210391,214337251,334222815878,1811547381981,1506978933
Trong đó :Chi phí lãi vay23,209821000,27116282739,6686943596,420300072166,,2432740899,97857939660,,,2971405197,3277091862,1355164694,265370271,2437879316,,,2271566359,3922321385,3038829759,2585232254,,1760647650,,11220864986,16994503066,,,2509396125,214558628900,,3275998081,6619634400,1107171910,,35767194520,5235442465,47110186535,50280915507,23192064018,,295513005046,551639361786,956899177
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết24",,,,-38421103226,,,-38559550659,,,,,547207234,,11909049,,,590901470,,4408,,,,,,2167496612,,,,4274215571,,,,,,71069761875,,39613267,-9050259506,,,,392531256272,
9. Chi phí bán hàng25,3789180966,46006015383,37003679085,734577364641,48790387,7181346853,443420829768,7554380014,2537874370,420905813,,15123618217,3249605355,7723504457,,,112558219536,3712500,49078056131,2808589130,80284907386,203124323,9690713677,176095588564,3613940537,24515990108,,664649479,25909538516,7257134699,,6984280,27688335381,896494271599,23872433293,,4865111173,144779686091,297000179598,90405103175,2856882910299,6115961971783,7634542626
10. Chi phí quản lý doanh nghiệp26,7185681363,23573840329,49264436800,430767842398,3038302643,16777618321,289973077947,8232442067,2218611276,2896246631,35564324860,6597288958,4437987229,6263992736,1678116082,10700708070,96027815389,26974727844,88557070474,5826482230,145424362169,5207268391,20498787922,94936293601,11395213200,93138486670,4334153195,23698387907,211357170803,62498142456,11258965715,10112436861,17608509135,105130392715,120239980618,-13083596419,15300313949,208773148649,91457807651,97726894761,2150592972594,7074038614774,7163579431
11. Lợi nhuận thuần từ hoạt động kinh doanh30,11093353037,51704681933,57406330269,679558263110,-343266701,67085302656,334728796888,-6508488026,-698108988,287939916,6287150445,16028914801,-6367447886,16994674013,-1518196225,50444263311,95943103797,-31674960827,117913358459,5482638971,86708136169,-4393212747,9188936813,-26268202529,51810251013,95500680668,121667601,4528645126,61308069755,-2622630827,6459458578,-10094626346,3792900082,70672512968,98347065737,9243717900,8691524225,224799859890,422116807782,167931166746,3633301864610,11025080772955,19193372612
12. Thu nhập khác31,476347737,5205998156,3194110381,140092198937,16953400,96068245,40997693209,1305269800,14367544,301237776,501705284,1355718804,6502925033,1155592582,3100005105,38742082,699485574,538209616,2368974224,425036306,936759974,180286236,36762475,1649801593,1715443679,1851444481,4456803000,208622939,19197898265,1287560106,454546,664317265,437366550,1862892766,41602387208,82946,1000387,4084038973,288642372,117953045,23752043108,175450599740,879282459
13. Chi phí khác32,254844139,41283424,5186590491,89404813087,1254353949,124366512,34394197119,458132885,220980961,106444946,13638330,53194488,72352318,377334852,,,636487048,799183009,5253433926,284613081,620747260,739525276,207098146,4157247182,7052996541,2113629403,432417345,1981625365,21447228712,144972457,1397865641,11044743714,1012259268,11459122,45003263354,1294010552,260216300,1192775811,595044810,584500002,69456190382,130864954876,1539317054
14. Lợi nhuận khác40,221503598,5164714732,-1992480110,50687385850,-1237400549,-28298267,6603496090,847136915,-206613417,194792830,488066954,1302524316,6430572715,778257730,3100005105,38742082,62998526,-260973393,-2884459702,140423225,316012714,-559239040,-170335671,-2507445589,-5337552862,-262184922,4024385655,-1773002426,-2249330447,1142587649,-1397411095,-10380426449,-574892718,1851433644,-3400876146,-1293927606,-259215913,2891263162,-306402438,-466546957,-45704147274,44585644864,-660034595
"Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế50,11314856635,56869396665,55413850159,730245648960,-1580667250,67057004389,341332292978,-5661351111,-904722405,482732746,6775217399,17331439117,63124829,17772931743,1581808880,50483005393,96006102323,-31935934220,115028898757,5623062196,87024148883,-4952451787,9018601142,-28775648118,46472698151,95238495746,4146053256,2755642700,59058739308,-1480043178,5062047483,-20475052795,3218007364,72523946612,94946189591,7949790294,8432308312,227691123052,421810405344,167464619789,3587597717336,11069666417819,18533338017
16. Chi phí thuế TNDN hiện hành51,1327302823,5906152265,5978390163,169251445590,,13273925182,84575602133,,,424842565,1372651145,2098293543,536791562,3666741912,,2349946,20068713624,,17803182605,817886701,21397955000,,2216015087,,12778388134,19567344422,,1750389398,30286630827,,,,997931146,14741013269,10782425171,,7580591177,60642529043,3931514213,33706711049,726110309518,1922927614658,3570254110
17. Chi phí thuế TNDN hoãn lại52,,,,107566099569,,,8677381471,,,,,2040624,,,,,253621953,,-2027052010,,,,92085909,318210119,-52790588,,,,-1298455841,,,,,97874554,1645673578,,241522851,-9454708944,-4737137414,929874312,401303857,-280683727283,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp60,9987553812,50963244400,49435459996,453428103801,-1580667250,53783079207,248079309374,-5661351111,-904722405,57890181,5402566254,15231104950,-473666733,14106189831,1581808880,50480655447,75683766746,-31935934220,99252768162,4805175495,65626193883,-4952451787,6710500146,-29093858237,33747100605,75671151324,4146053256,1005253302,30070564322,-1480043178,5062047483,-20475052795,2220076218,57685058789,82518090842,7949790294,610194284,176503302953,422616028545,132828034428,2861086103961,9427422530444,14963083907
Lợi ích của cổ đông thiểu số,,,,197493101996,,,107408459617,,,,,3109607203,2877384,-1236684,,,555976567,,3805092303,,,,,1092206680,2338104290,,,-534273285,20801555439,,,,,389390470,-923357385,3592709681,-1030570,57239721604,116915516131,,57762427647,1570654718266,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,9987553812,50963244400,49435459996,255935001805,-1580667250,53783079207,140670849757,-5661351111,-904722405,57890181,5402566254,12121497747,-476544117,14107426515,1581808880,50480655447,75127790179,-31935934220,95447675859,4805175495,65626193883,-4952451787,6710500146,-30186064917,31408996315,75671151324,4146053256,1539526587,9269008883,-1480043178,5062047483,-20475052795,2220076218,57295668319,83441448227,4357080613,611224854,119263581349,305700512414,132828034428,2803323676314,7856767812178,14963083907
19. Lãi cơ bản trên cổ phiếu,3474,1617,1260,352,-399,898,236,-572,-168,48,1081,1216,-271,705,145,1376,4551,-703,1150,1163,3125,-528,1350,-719,146,10411,691,31,59,-58,131,-1395,740,4493,657,176,10,351,4675,6490,5119,4944,4988
20. Lãi suy giảm trên cổ phiếu71,3474,1617,1260,352,,898,236,,-168,24,,1216,-271,705,,1376,,,1095,,,-528,,-719,,,691,31,,,,-1395,,,,,10,351,,6490,5119,4944,
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Lợi nhuận trước thuế01,11314856635,56869396665,55413850159,730245648960,,67057004389,341332292978,-5661351111,-874932522,,6775217399,17331439117,63124829,17772931743,1581808880,50483005393,96006102323,-31935934220,115028898757,5623062196,87024148883,,9018601142,-28775648118,46472698151,,,2755642700,59058739308,,5062047483,,3218007364,72523946612,94946189591,7949790294,8432308312,227691123052,421810405344,167464619789,3587597717336,11069666417819,
2. Điều chỉnh cho các khoản,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khấu hao TSCĐ và BĐSĐT02,3569302679,91053785592,61755725980,58297921063,,3775008606,48678342718,1275689062,133090296,,406013261,2563097081,980566392,6390964652,167487528,360359032,4916459276,2080439964,12492410093,2672503676,15662008123,,1758651977,38071627052,331173002,,,15806195632,168033461924,,2362175300,,7599841779,12978600004,45241215731,11525911376,1079628277,141768253706,183806166364,3565105632,1372284413689,2535298475665,
Các khoản dự phòng03,-540457611,,3024038578,65590123112,,-131515353,49383397931,141270123,,,,-1578525204,515942795,901114025,91901254,,579161551,28081647174,25704463448,-777499988,7849080980,,92118969,28126914068,,,,9473549677,221880000,,,,3090303950,,15444841668,-22105917054,-324000000,-608610369,1373893000,-377795340,87280665526,1148951390915,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",,16721712330,,189782000,,7697609,,,,,,,,231901439,,-109874,,,-1797526516,,-261287992,,,-1382589844,,,,,569082240,,-1001998,,-4440205,,-58826201,,,195322557,-10648561858,-3277917322,-6415210841,46311803197,
"Lãi, lỗ từ hoạt động đầu tư05",-1350580326,-325157938,3014866092,-8824747215,,-15986958487,9742607900,-1241665190,,,-489720230,-7633308477,-1217794467,-1874316808,-244735361,-59294122862,-12292007100,-275021,-17936966297,-4881206164,-3577202600,,-86896713,-23028528693,-25140274504,,,16204371441,-69519640466,,-672194766,,-334789658,-28487389434,-21951606830,-175594,-40948648,-40330295581,-23835210130,-33374426838,-524762592813,-1725022480893,
Chi phí lãi vay06,209821000,27116282739,6686943596,420300072166,,2432740899,97857939660,,,,3277091862,1355164694,265370271,2437879316,,,2271566359,3922321385,3038829759,2585232254,,,,11220864986,16994503066,,,2509396125,214558628900,,3275998081,,1107171910,,35767194520,5235442465,47110186535,50280915507,23192064018,,295513005046,551639361786,
"Lãi, lỗ do thanh lý TSCĐ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu nhập lãi vay và cổ tức,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phân bổ lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điều chỉnh cho các khoản khác,,,4100000000,,,,,,,,,,,,,,,,-8250000000,,,,,,,,,,,,,,,,,,,,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,13202942377,191436019388,133995424405,1265798800086,,57153977663,546994581187,-5486057116,-741842226,,9968602292,12037867211,607209820,25860474367,1596462301,-8450868311,91481282409,2148199282,128280109244,5222091974,106696747394,,10782475375,24232639451,38658099715,,,46749155575,372922151906,,10027024100,,14676095140,57015157182,169389008479,2605051487,56257174476,378996708872,595698756738,133999585921,4811497997943,13626844968489,
"Tăng, giảm các khoản phải thu09",3012174449,54742056453,-37897442529,-981837954322,,-61902283427,691861676820,6081938776,2223318830,,113972750695,9180762301,-8278820429,-21837617926,9212313,586406796,5423572073,-21629970944,133234158774,-40996710541,-6608444428,,-28290384620,15231183534,-400277346096,,,41377259986,-433408544957,,-843309891,,16302381298,6708900790,-13827365350,12155631041,10417925414,-253586676826,-100243789258,-5182525555,-470001918689,-1913663012505,
"Tăng, giảm hàng tồn kho10",119331576,-3947739420,8753815827,710262979883,,-186325926,-271397004222,10309835399,-9930304325,,158167627175,-1860471176,812540189,-28093185282,,-1067585269,-4516283790,20160722068,11001902986,7680408052,3372101636,,3124030137,37769383301,-647002731217,,,-32675134558,-2334802685,,52779185647,,-16709844532,-111744810059,58865181728,,44721671510,22590849151,-2120829301,343604559,-388407440528,-265267561842,
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",840337903,-6756920388,-1598098651,-1728929303404,,-76283228999,-515366966460,-1388522144,6005865662,,-364318795021,-1496139557,-2780932575,17816463141,-3042620000,-454394749,-12321260302,-1137391031,-132367484667,57191457125,50797763993,,-702745057,317009903,524433134240,,,30436676182,158700188334,,,,-30389300126,58197783056,-40238604258,6610759345,-45474270028,87229380437,141528375327,18955731384,1256369642551,2875571263689,
"Tăng, giảm chi phí trả trước12",-52943999,4829413984,-4531334226,152113413355,,-1427725351,-19694910858,-120198066,34644222,,13813429067,-290657455,101980471,-9226477426,,329392093,958196569,8879169,13906398826,22716596,-4667935149,,1299496823,7813560011,-91746400747,,,-1822881639,-31472430911,,-8863753037,,-202576140,941439752,7447502503,239734800,921797439,-12648077492,41514133316,5975812609,-235020131875,-393964502357,
